Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-04-21 08:38:57,6547,67,4124,-25.0,133.0
,Austria,2020-04-21 08:38:57,14873,491,10971,47.5162,14.5501
,Canada,2020-04-21 08:38:57,39405,1915,13190,60.001000000000005,-95001
,China,2020-04-21 08:38:57,83864,4636,77829,30.5928,114.3055
,Denmark,2020-04-21 08:38:57,8108,370,4889,56.0,10.0
,Finland,2020-04-21 08:38:57,4014,141,2000,61.9241,25.7482
,France,2020-04-21 08:38:57,159300,20829,39842,46.2276,2.2137
,Germany,2020-04-21 08:38:57,148453,5086,99400,51.1657,10.4515
,Iceland,2020-04-21 08:38:57,1778,10,1417,64.9631,-19.0208
,Ireland,2020-04-21 08:38:57,16040,730,9233,53.1424,-7.6921
,Italy,2020-04-21 08:38:57,183957,24648,51600,41.8719,12.5674
,Netherlands,2020-04-21 08:38:57,34318,3929,74,52.3167,5.55
,Norway,2020-04-21 08:38:57,7241,182,32,60472,8.4689
,Russia,2020-04-21 08:38:57,57999,513,4420,61.523999999999994,105.3188
,Sweden,2020-04-21 08:38:57,15322,1765,550,60.1282,18.6435
,Switzerland,2020-04-21 08:38:57,28063,1478,19400,46.8182,8.2275
,United Kingdom,2020-04-21 08:38:57,130184,17378,640,55.0,-3.0
,US,2020-04-21 08:38:57,825306,45075,75673,40.0,-100.0
,Afghanistan,2020-04-21 08:38:57,1092,36,150,33.93911,67.709953
,Albania,2020-04-21 08:38:57,609,26,345,41.1533,20.1683
,Algeria,2020-04-21 08:38:57,2811,392,1152,28.0339,1.6596
,Andorra,2020-04-21 08:38:57,717,37,282,42.5063,1.5218
,Angola,2020-04-21 08:38:57,24,2,6,-11.2027,17.8739
,Antigua and Barbuda,2020-04-21 08:38:57,24,3,7,17.0608,-61.7964
,Argentina,2020-04-21 08:38:57,3144,151,840,-38.4161,-63.6167
,Armenia,2020-04-21 08:38:57,1473,24,633,40.0691,45.0382
,Azerbaijan,2020-04-21 08:38:57,1480,20,865,40.1431,47.5769
,Bahamas,2020-04-21 08:38:57,65,9,12,25.025885,-78.035889
,Bahrain,2020-04-21 08:38:57,1973,7,784,26.0275,50.55
,Bangladesh,2020-04-21 08:38:57,3382,110,87,23685,90.3563
,Barbados,2020-04-21 08:38:57,75,5,25,13.1939,-59.5432
,Belarus,2020-04-21 08:38:57,6723,55,577,53.7098,27.9534
,Belgium,2020-04-21 08:38:57,40956,5998,9002,50.8333,4.469936
,Belize,2020-04-21 08:38:57,18,2,2,17.1899,-88.4976
,Benin,2020-04-21 08:38:57,54,1,27,9.3077,2.3158
,Bhutan,2020-04-21 08:38:57,6,0,2,27.5142,90.4336
,Bolivia,2020-04-21 08:38:57,609,37,44,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-04-21 08:38:57,1342,51,437,43.9159,17.6791
,Botswana,2020-04-21 08:38:57,20,1,0,-22.3285,24.6849
,Brazil,2020-04-21 08:38:57,43368,2761,24325,-14235,-51.9253
,Brunei,2020-04-21 08:38:57,138,1,116,4.5353,114.7277
,Bulgaria,2020-04-21 08:38:57,1015,47,174,42.7339,25.4858
,Burkina Faso,2020-04-21 08:38:57,600,38,362,12.2383,-1.5616
,Burma,2020-04-21 08:38:57,121,5,7,21.9162,95956
,Burundi,2020-04-21 08:38:57,11,1,4,-3.3731,29.9189
,Cabo Verde,2020-04-21 08:38:57,68,1,1,16.5388,-23.0418
,Cambodia,2020-04-21 08:38:57,122,0,110,11.55,104.9167
,Cameroon,2020-04-21 08:38:57,1163,43,329,3848,11.5021
,Central African Republic,2020-04-21 08:38:57,14,0,10,6.6111,20.9394
,Chad,2020-04-21 08:38:57,33,0,8,15.4542,18.7322
,Chile,2020-04-21 08:38:57,10832,147,4969,-35.6751,-71543
,Colombia,2020-04-21 08:38:57,4149,196,804,4.5709,-74.2973
,Congo (Brazzaville),2020-04-21 08:38:57,165,6,16,-4.2634,15.2832
,Congo (Kinshasa),2020-04-21 08:38:57,359,25,45,-4.322447,15.307045
,Costa Rica,2020-04-21 08:38:57,669,6,150,9.7489,-83.7534
,Cote d'Ivoire,2020-04-21 08:38:57,916,13,303,7.54,-5.5471
,Croatia,2020-04-21 08:38:57,1908,48,801,45.1,15.2
,Cuba,2020-04-21 08:38:57,1137,38,309,21.521757,-77.78116700000002
,Cyprus,2020-04-21 08:38:57,784,12,98,35.1264,33.4299
,Czechia,2020-04-21 08:38:57,7041,204,1800,49.8175,15473
,Diamond Princess,2020-04-21 08:38:57,712,13,644,,
,Djibouti,2020-04-21 08:38:57,945,2,112,11.8251,42.5903
,Dominica,2020-04-21 08:38:57,16,0,9,15415,-61371
,Dominican Republic,2020-04-21 08:38:57,5044,245,463,18.7357,-70.1627
,Ecuador,2020-04-21 08:38:57,10398,520,1207,-1.8312,-78.1834
,Egypt,2020-04-21 08:38:57,3490,264,870,26.820553000000004,30.802498
,El Salvador,2020-04-21 08:38:57,237,7,63,13.7942,-88.8965
,Equatorial Guinea,2020-04-21 08:38:57,83,0,7,1.6508,10.2679
,Eritrea,2020-04-21 08:38:57,39,0,6,15.1794,39.7823
,Estonia,2020-04-21 08:38:57,1552,43,169,58.5953,25.0136
,Eswatini,2020-04-21 08:38:57,31,1,8,-26.5225,31.4659
,Ethiopia,2020-04-21 08:38:57,114,3,16,9145,40.4897
,Fiji,2020-04-21 08:38:57,18,0,8,-17.7134,178065
,Gabon,2020-04-21 08:38:57,156,1,16,-0.8037,11.6094
,Gambia,2020-04-21 08:38:57,10,1,2,13.4432,-15.3101
,Georgia,2020-04-21 08:38:57,411,5,98,42.3154,43.3569
,Ghana,2020-04-21 08:38:57,1042,9,99,7.9465,-1.0232
,Greece,2020-04-21 08:38:57,2401,121,577,39.0742,21.8243
,Grenada,2020-04-21 08:38:57,14,0,6,12.1165,-61679
,Guatemala,2020-04-21 08:38:57,316,8,24,15.7835,-90.2308
,Guinea,2020-04-21 08:38:57,688,6,127,9.9456,-9.6966
,Guinea-Bissau,2020-04-21 08:38:57,50,0,3,11.8037,-15.1804
,Guyana,2020-04-21 08:38:57,66,7,9,4.860416000000002,-58.93018000000001
,Haiti,2020-04-21 08:38:57,58,4,2,18.9712,-72.2852
