Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-05-01 07:32:26,6781,93,5796,-25.0,133.0
,Austria,2020-05-01 07:32:26,15531,589,13110,47.5162,14.5501
,Canada,2020-05-01 07:32:26,56343,3537,22764,60.001000000000005,-95001
,China,2020-05-01 07:32:26,83959,4637,78581,30.5928,114.3055
,Denmark,2020-05-01 07:32:26,9509,460,6924,56.0,10.0
,Finland,2020-05-01 07:32:26,5051,218,3000,61.9241,25.7482
,France,2020-05-01 07:32:26,167305,24628,51124,46.2276,2.2137
,Germany,2020-05-01 07:32:26,164077,6736,129000,51.1657,10.4515
,Iceland,2020-05-01 07:32:26,1798,10,1689,64.9631,-19.0208
,Ireland,2020-05-01 07:32:26,20833,1265,13386,53.1424,-7.6921
,Italy,2020-05-01 07:32:26,207428,28236,78249,41.8719,12.5674
,Netherlands,2020-05-01 07:32:26,39989,4909,138,52.3167,5.55
,Norway,2020-05-01 07:32:26,7783,210,32,60472,8.4689
,Russia,2020-05-01 07:32:26,114431,1169,13220,61.523999999999994,105.3188
,Sweden,2020-05-01 07:32:26,21520,2653,1005,60.1282,18.6435
,Switzerland,2020-05-01 07:32:26,29705,1754,23900,46.8182,8.2275
,United Kingdom,2020-05-01 07:32:26,178685,27583,892,55.0,-3.0
,US,2020-05-01 07:32:26,1103781,65068,164015,40.0,-100.0
,Afghanistan,2020-05-01 07:32:26,2335,68,310,33.93911,67.709953
,Albania,2020-05-01 07:32:26,782,31,488,41.1533,20.1683
,Algeria,2020-05-01 07:32:26,4154,453,1821,28.0339,1.6596
,Andorra,2020-05-01 07:32:26,745,43,468,42.5063,1.5218
,Angola,2020-05-01 07:32:26,30,2,11,-11.2027,17.8739
,Antigua and Barbuda,2020-05-01 07:32:26,25,3,15,17.0608,-61.7964
,Argentina,2020-05-01 07:32:26,4532,225,1292,-38.4161,-63.6167
,Armenia,2020-05-01 07:32:26,2273,33,1010,40.0691,45.0382
,Azerbaijan,2020-05-01 07:32:26,1854,25,1365,40.1431,47.5769
,Bahamas,2020-05-01 07:32:26,82,11,24,25.025885,-78.035889
,Bahrain,2020-05-01 07:32:26,3170,8,1555,26.0275,50.55
,Bangladesh,2020-05-01 07:32:26,8238,170,174,23685,90.3563
,Barbados,2020-05-01 07:32:26,81,7,39,13.1939,-59.5432
,Belarus,2020-05-01 07:32:26,14917,93,2918,53.7098,27.9534
,Belgium,2020-05-01 07:32:26,49032,7703,11892,50.8333,4.469936
,Belize,2020-05-01 07:32:26,18,2,13,17.1899,-88.4976
,Benin,2020-05-01 07:32:26,90,2,42,9.3077,2.3158
,Bhutan,2020-05-01 07:32:26,7,0,5,27.5142,90.4336
,Bolivia,2020-05-01 07:32:26,1229,66,134,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-05-01 07:32:26,1781,70,755,43.9159,17.6791
,Botswana,2020-05-01 07:32:26,23,1,8,-22.3285,24.6849
,Brazil,2020-05-01 07:32:26,92202,6412,38039,-14235,-51.9253
,Brunei,2020-05-01 07:32:26,138,1,126,4.5353,114.7277
,Bulgaria,2020-05-01 07:32:26,1588,69,287,42.7339,25.4858
,Burkina Faso,2020-05-01 07:32:26,649,44,517,12.2383,-1.5616
,Burma,2020-05-01 07:32:26,151,6,31,21.9162,95956
,Burundi,2020-05-01 07:32:26,11,1,4,-3.3731,29.9189
,Cabo Verde,2020-05-01 07:32:26,122,1,18,16.5388,-23.0418
,Cambodia,2020-05-01 07:32:26,122,0,120,11.55,104.9167
,Cameroon,2020-05-01 07:32:26,1832,61,934,3848,11.5021
,Central African Republic,2020-05-01 07:32:26,72,0,10,6.6111,20.9394
,Chad,2020-05-01 07:32:26,73,5,33,15.4542,18.7322
,Chile,2020-05-01 07:32:26,17008,234,9018,-35.6751,-71543
,Colombia,2020-05-01 07:32:26,7006,314,1551,4.5709,-74.2973
,Comoros,2020-05-01 07:32:26,1,0,0,-11.6455,43.3333
,Congo (Brazzaville),2020-05-01 07:32:26,229,9,25,-4.2634,15.2832
,Congo (Kinshasa),2020-05-01 07:32:26,604,32,75,-4.322447,15.307045
,Costa Rica,2020-05-01 07:32:26,725,6,355,9.7489,-83.7534
,Cote d'Ivoire,2020-05-01 07:32:26,1333,15,597,7.54,-5.5471
,Croatia,2020-05-01 07:32:26,2085,75,1421,45.1,15.2
,Cuba,2020-05-01 07:32:26,1537,64,714,21.521757,-77.78116700000002
,Cyprus,2020-05-01 07:32:26,857,15,296,35.1264,33.4299
,Czechia,2020-05-01 07:32:26,7737,240,3372,49.8175,15473
,Diamond Princess,2020-05-01 07:32:26,712,13,645,,
,Djibouti,2020-05-01 07:32:26,1097,2,672,11.8251,42.5903
,Dominica,2020-05-01 07:32:26,16,0,13,15415,-61371
,Dominican Republic,2020-05-01 07:32:26,7288,313,1387,18.7357,-70.1627
,Ecuador,2020-05-01 07:32:26,26336,1063,1913,-1.8312,-78.1834
,Egypt,2020-05-01 07:32:26,5895,406,1460,26.820553000000004,30.802498
,El Salvador,2020-05-01 07:32:26,446,10,138,13.7942,-88.8965
,Equatorial Guinea,2020-05-01 07:32:26,315,1,9,1.6508,10.2679
,Eritrea,2020-05-01 07:32:26,39,0,26,15.1794,39.7823
,Estonia,2020-05-01 07:32:26,1694,52,253,58.5953,25.0136
,Eswatini,2020-05-01 07:32:26,106,1,12,-26.5225,31.4659
,Ethiopia,2020-05-01 07:32:26,133,3,66,9145,40.4897
,Fiji,2020-05-01 07:32:26,18,0,14,-17.7134,178065
,Gabon,2020-05-01 07:32:26,276,3,67,-0.8037,11.6094
,Gambia,2020-05-01 07:32:26,12,1,9,13.4432,-15.3101
,Georgia,2020-05-01 07:32:26,582,8,207,42.3154,43.3569
,Ghana,2020-05-01 07:32:26,2074,17,212,7.9465,-1.0232
,Greece,2020-05-01 07:32:26,2612,140,1374,39.0742,21.8243
,Grenada,2020-05-01 07:32:26,20,0,13,12.1165,-61679
,Guatemala,2020-05-01 07:32:26,644,16,72,15.7835,-90.2308
,Guinea,2020-05-01 07:32:26,1537,7,342,9.9456,-9.6966
,Guinea-Bissau,2020-05-01 07:32:26,257,1,19,11.8037,-15.1804
,Guyana,2020-05-01 07:32:26,82,9,22,4.860416000000002,-58.93018000000001
,Haiti,2020-05-01 07:32:26,85,8,10,18.9712,-72.2852
,Holy See,2020-05-01 07:32:26,11,0,2,41.9029,12.4534
,Honduras,2020-05-01 07:32:26,899,75,112,15.2,-86.2419
,Hungary,2020-05-01 07:32:26,2942,335,625,47.1625,19.5033
,India,2020-05-01 07:32:26,37336,1223,10007,20.593684,78.96288
,Indonesia,2020-05-01 07:32:26,10551,800,1591,-0.7893,113.9213
,Iran,2020-05-01 07:32:26,95646,6091,76318,32.427908,53.68804599999999
,Iraq,2020-05-01 07:32:26,2153,94,1414,33.223191,43.679291
,Israel,2020-05-01 07:32:26,16101,225,9156,31.046051,34.851612
,Jamaica,2020-05-01 07:32:26,432,8,31,18.1096,-77.2975
,Japan,2020-05-01 07:32:26,14305,455,2975,36.204824,138.252924
,Jordan,2020-05-01 07:32:26,459,8,364,31.24,36.51
,Kazakhstan,2020-05-01 07:32:26,3671,25,922,48.0196,66.9237
,Kenya,2020-05-01 07:32:26,411,21,150,-0.0236,37.9062
