Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-06-27 21:33:49,7686.0,104.0,6993,-25.0,133.0
,Austria,2020-06-27 21:33:49,17654.0,702.0,16401,47.5162,14.5501
,Canada,2020-06-27 21:33:49,105146.0,8582.0,67650,60.001000000000005,-95001
,China,2020-06-27 21:33:49,84745.0,4641.0,79601,30.5928,114.3055
,Denmark,2020-06-27 21:33:49,12875.0,604.0,11708,56.2639,9.5018
,Finland,2020-06-27 21:33:49,7198.0,328.0,6600,61.9241,25.7482
,France,2020-06-27 21:33:49,199474.0,29781.0,75774,46.2276,2.2137
,Germany,2020-06-27 21:33:49,194693.0,8968.0,177657,51.165690999999995,10.451526
,Iceland,2020-06-27 21:33:49,1838.0,10.0,1816,64.9631,-19.0208
,Ireland,2020-06-27 21:33:49,25439.0,1735.0,23364,53.1424,-7.6921
,Italy,2020-06-27 21:33:49,240310.0,34738.0,188891,41.8719,12.5674
,Netherlands,2020-06-27 21:33:49,50355.0,6124.0,186,52.3167,5.55
,Norway,2020-06-27 21:33:49,8853.0,249.0,8138,60472,8.4689
,Russia,2020-06-27 21:33:49,633563.0,9060.0,398436,61.523999999999994,105.3188
,Sweden,2020-06-27 21:33:49,65137.0,5280.0,,60.1282,18.6435
,Switzerland,2020-06-27 21:33:49,31617.0,1962.0,29100,46.8182,8.2275
,United Kingdom,2020-06-27 21:33:49,312640.0,43634.0,1364,55.0,-3.0
,US,2020-06-27 21:33:49,2542675.0,125763.0,685164,40.0,-100.0
,Spain,2020-06-27 21:33:49,248770.0,28343.0,150376,40.463667,-3.7492199999999998
,Mexico,2020-06-27 21:33:49,212802.0,26381.0,160721,23.6345,-102.5528
,Chile,2020-06-27 21:33:49,271982.0,5509.0,232210,-35.6751,-71543
,Brazil,2020-06-27 21:33:49,1313667.0,57070.0,727715,-14235,-51.9253
,Peru,2020-06-27 21:33:49,279419.0,9317.0,164024,-9.19,-75.0152
,Colombia,2020-06-27 21:33:49,88817.0,3076.0,36335,4.5709,-74.2973
,Japan,2020-06-27 21:33:49,18366.0,972.0,16327,36.204824,138.252924
,Ukraine,2020-06-27 21:33:49,43856.0,1142.0,19585,48.3794,31.1656
,India,2020-06-27 21:33:49,528859.0,16095.0,309713,20.593684,78.96288
,Pakistan,2020-06-27 21:33:49,202955.0,4118.0,92624,30.3753,69.3451
,Afghanistan,2020-06-27 21:33:49,30967.0,721.0,12604,33.93911,67.709953
,Albania,2020-06-27 21:33:49,2402.0,55.0,1384,41.1533,20.1683
,Algeria,2020-06-27 21:33:49,13273.0,897.0,9371,28.0339,1.6596
,Andorra,2020-06-27 21:33:49,855.0,52.0,799,42.5063,1.5218
,Angola,2020-06-27 21:33:49,267.0,11.0,81,-11.2027,17.8739
