Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-03-25 09:14:34,2364,8,119,-25.0,133.0
,Austria,2020-03-25 09:09:48,5448,30,9,47.5162,14.5501
,Canada,2020-03-25 02:49:00,2792,27,110,60.001000000000005,-95001
,China,2020-03-25 07:35:38,81637,3285,73770,30.5928,114.3055
,Denmark,2020-03-25 09:09:48,1852,32,41,56.0,10.0
,Finland,2020-03-25 09:09:48,792,1,10,61.9241,25.7482
,France,2020-03-25 09:09:48,22637,1102,3288,46.2276,2.2137
,Germany,2020-03-25 09:09:48,33593,164,3299,51.1657,10.4515
,Iceland,2020-03-25 09:09:48,648,2,51,64.9631,-19.0208
,Ireland,2020-03-25 09:09:48,1329,7,5,53.1424,-7.6921
,Italy,2020-03-25 09:09:48,69176,6820,8326,41.8719,12.5674
,Netherlands,2020-03-25 09:09:48,5585,277,3,52.3167,5.55
,Norway,2020-03-25 09:09:48,2868,13,6,60472,8.4689
,Russia,2020-03-25 09:09:48,658,1,29,61.523999999999994,105.3188
,Sweden,2020-03-25 09:09:48,2300,40,16,60.1282,18.6435
,Switzerland,2020-03-25 09:09:48,9991,133,131,46.8182,8.2275
,United Kingdom,2020-03-25 09:09:48,8164,423,140,55.0,-3.0
,US,2020-03-25 09:10:01,55225,802,354,40.0,-100.0
,Afghanistan,2020-03-25 09:09:48,74,2,1,33.93911,67.709953
,Albania,2020-03-25 09:09:48,123,5,10,41.1533,20.1683
,Algeria,2020-03-25 09:09:48,264,19,65,28.0339,1.6596
,Andorra,2020-03-25 09:09:48,164,1,1,42.5063,1.5218
,Angola,2020-03-25 09:09:48,3,0,0,-11.2027,17.8739
,Antigua and Barbuda,2020-03-25 09:09:48,3,0,0,17.0608,-61.7964
,Argentina,2020-03-25 09:09:48,387,6,52,-38.4161,-63.6167
,Armenia,2020-03-25 09:09:48,265,0,16,40.0691,45.0382
,Azerbaijan,2020-03-25 09:09:48,87,1,10,40.1431,47.5769
,Bahamas,2020-03-25 09:09:48,5,0,1,25.025885,-78.035889
,Bahrain,2020-03-25 09:09:48,392,3,177,26.0275,50.55
,Bangladesh,2020-03-25 09:09:48,39,5,7,23685,90.3563
,Barbados,2020-03-25 09:09:48,18,0,0,13.1939,-59.5432
,Belarus,2020-03-25 09:09:48,86,0,29,53.7098,27.9534
,Belgium,2020-03-25 09:09:48,4269,122,461,50.8333,4.469936
,Belize,2020-03-25 09:09:48,1,0,0,17.1899,-88.4976
,Benin,2020-03-25 09:09:48,6,0,0,9.3077,2.3158
,Bhutan,2020-03-25 09:09:48,2,0,0,27.5142,90.4336
,Bolivia,2020-03-25 09:09:48,32,0,0,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-03-25 09:09:48,168,3,2,43.9159,17.6791
,Brazil,2020-03-25 09:09:48,2247,46,2,-14235,-51.9253
,Brunei,2020-03-25 09:09:48,104,0,2,4.5353,114.7277
,Bulgaria,2020-03-25 09:09:48,220,3,4,42.7339,25.4858
,Burkina Faso,2020-03-25 09:09:48,114,4,7,12.2383,-1.5616
,Cabo Verde,2020-03-25 09:09:48,3,1,0,16.5388,-23.0418
,Cambodia,2020-03-25 09:09:48,93,0,4,11.55,104.9167
,Cameroon,2020-03-25 09:09:48,66,1,2,3848,11.5021
,Central African Republic,2020-03-25 09:09:48,3,0,0,6.6111,20.9394
,Chad,2020-03-25 09:09:48,3,0,0,15.4542,18.7322
,Chile,2020-03-25 09:09:48,922,2,17,-35.6751,-71543
,Colombia,2020-03-25 09:09:48,378,3,6,4.5709,-74.2973
,Congo (Brazzaville),2020-03-25 09:09:48,4,0,0,-4.2634,15.2832
,Congo (Kinshasa),2020-03-25 09:09:48,45,2,0,-4.322447,15.307045
,Costa Rica,2020-03-25 09:09:48,177,2,2,9.7489,-83.7534
,Cote d'Ivoire,2020-03-25 09:09:48,73,0,2,7.54,-5.5471
,Croatia,2020-03-25 09:09:48,418,1,16,45.1,15.2
,Cuba,2020-03-25 09:09:48,48,1,1,21.521757,-77.78116700000002
,Cyprus,2020-03-25 09:09:48,124,3,3,35.1264,33.4299
,Czechia,2020-03-25 09:09:48,1497,3,10,49.8175,15473
,Diamond Princess,2020-03-25 09:09:48,712,10,587,0.0,0.0
,Djibouti,2020-03-25 09:09:48,3,0,0,11.8251,42.5903
,Dominica,2020-03-25 09:09:48,7,0,0,15415,-61371
,Dominican Republic,2020-03-25 09:09:48,312,6,3,18.7357,-70.1627
,Ecuador,2020-03-25 09:09:48,1082,27,3,-1.8312,-78.1834
,Egypt,2020-03-25 09:09:48,402,20,80,26.820553000000004,30.802498
,El Salvador,2020-03-25 09:09:48,9,0,0,13.7942,-88.8965
,Equatorial Guinea,2020-03-25 09:09:48,9,0,0,1.6508,10.2679
,Eritrea,2020-03-25 09:09:48,1,0,0,15.1794,39.7823
,Estonia,2020-03-25 09:09:48,404,0,8,58.5953,25.0136
,Eswatini,2020-03-25 09:09:48,4,0,0,-26.5225,31.4659
,Ethiopia,2020-03-25 09:09:48,12,0,0,9145,40.4897
,Fiji,2020-03-25 09:09:48,5,0,0,-17.7134,178065
,Gabon,2020-03-25 09:09:48,6,1,0,-0.8037,11.6094
,Gambia,2020-03-25 09:09:48,3,1,0,13.4432,-15.3101
,Georgia,2020-03-25 09:09:48,73,0,10,42.3154,43.3569
,Ghana,2020-03-25 09:09:48,53,2,0,7.9465,-1.0232
,Greece,2020-03-25 09:09:48,743,20,29,39.0742,21.8243
,Grenada,2020-03-25 09:09:48,1,0,0,12.1165,-61679
,Guatemala,2020-03-25 09:09:48,21,1,0,15.7835,-90.2308
,Guinea,2020-03-25 09:09:48,4,0,0,9.9456,-9.6966
,Guyana,2020-03-25 09:09:48,5,1,0,4.860416000000002,-58.93018000000001
,Haiti,2020-03-25 09:09:48,7,0,0,18.9712,-72.2852
,Holy See,2020-03-25 09:09:48,4,0,0,41.9029,12.4534
,Honduras,2020-03-25 09:09:48,36,0,0,15.2,-86.2419
,Hungary,2020-03-25 09:09:48,226,10,21,47.1625,19.5033
,India,2020-03-25 09:09:48,562,10,40,20.593684,78.96288
,Indonesia,2020-03-25 09:09:48,790,58,31,-0.7893,113.9213
,Iran,2020-03-25 09:09:48,24811,1934,8913,32.427908,53.68804599999999
,Iraq,2020-03-25 09:09:48,316,27,75,33.223191,43.679291
,Israel,2020-03-25 09:09:48,2030,5,58,31.046051,34.851612
,Jamaica,2020-03-25 09:09:48,25,1,2,18.1096,-77.2975
,Japan,2020-03-25 09:09:48,1193,43,285,36.204824,138.252924
,Jordan,2020-03-25 09:09:48,154,0,1,31.24,36.51
,Kazakhstan,2020-03-25 09:09:48,79,0,0,48.0196,66.9237
,Kenya,2020-03-25 09:09:48,25,0,0,-0.0236,37.9062
,"Korea, South",2020-03-25 09:09:48,9137,126,3730,35.90775700000001,127.766922
,Kuwait,2020-03-25 09:09:48,195,0,43,29.31166,47.481766
,Kyrgyzstan,2020-03-25 09:09:48,42,0,0,41.20438,74.766098
,Laos,2020-03-25 09:09:48,2,0,0,19.85627,102.495496
,Latvia,2020-03-25 09:09:48,221,0,1,56.8796,24.6032
,Lebanon,2020-03-25 09:09:48,318,4,8,33.8547,35.8623
,Liberia,2020-03-25 09:09:48,3,0,0,6.4280550000000005,-9.429499
,Libya,2020-03-25 09:09:48,1,0,0,26.3351,17.228331
,Liechtenstein,2020-03-25 09:09:48,51,0,0,47.14,9.55
,Lithuania,2020-03-25 09:09:48,255,3,1,55.1694,23.8813
,Luxembourg,2020-03-25 09:09:48,1099,8,6,49.8153,6.1296
,Madagascar,2020-03-25 09:09:48,19,0,0,-18.766947,46.869107
,Malaysia,2020-03-25 09:09:48,1796,17,183,4.210483999999999,101.975766
,Maldives,2020-03-25 09:09:48,13,0,5,3.2028,73.2207
,Malta,2020-03-25 09:09:48,110,0,2,35.9375,14.3754
,Mauritania,2020-03-25 09:09:48,2,0,0,21.0079,-10.9408
,Mauritius,2020-03-25 09:09:48,48,2,0,-20.348404,57.552152
,Mexico,2020-03-25 09:09:48,405,5,4,23.6345,-102.5528
,Moldova,2020-03-25 09:09:48,125,1,2,47.4116,28.3699
,Monaco,2020-03-25 09:09:48,23,0,1,43.7333,7.4167
,Mongolia,2020-03-25 09:09:48,10,0,0,46.8625,103.8467
,Montenegro,2020-03-25 09:09:48,52,1,0,42.708678000000006,19.37439
,Morocco,2020-03-25 09:09:48,170,5,6,31.7917,-7.0926
,Mozambique,2020-03-25 09:09:48,3,0,0,-18.665695,35.529562
,Namibia,2020-03-25 09:09:48,7,0,2,-22.9576,18.4904
,Nepal,2020-03-25 09:09:48,3,0,1,28.1667,84.25
,New Zealand,2020-03-25 09:09:48,205,0,22,-40.9006,174886
,Nicaragua,2020-03-25 09:09:48,2,0,0,12.865416,-85.207229
,Niger,2020-03-25 09:09:48,7,1,0,17.607789,8.081666
,Nigeria,2020-03-25 09:09:48,46,1,2,9082,8.6753
