Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-04-06 07:45:46,5895,45,1080,-25.0,133.0
,Austria,2020-04-06 07:45:46,12386,220,3463,47.5162,14.5501
,Canada,2020-04-06 07:45:46,16667,323,3613,60.001000000000005,-95001
,China,2020-04-06 07:45:46,82697,3335,77410,30.5928,114.3055
,Denmark,2020-04-06 07:45:46,4876,187,1511,56.0,10.0
,Finland,2020-04-06 07:45:46,2308,27,300,61.9241,25.7482
,France,2020-04-06 07:45:46,98984,8926,17429,46.2276,2.2137
,Germany,2020-04-06 07:45:46,103375,1810,36081,51.1657,10.4515
,Iceland,2020-04-06 07:45:46,1562,6,460,64.9631,-19.0208
,Ireland,2020-04-06 07:45:46,5364,174,25,53.1424,-7.6921
,Italy,2020-04-06 07:45:46,132547,16523,22837,41.8719,12.5674
,Netherlands,2020-04-06 07:45:46,18926,1874,258,52.3167,5.55
,Norway,2020-04-06 07:45:46,5865,77,32,60472,8.4689
,Russia,2020-04-06 07:45:46,7497,58,494,61.523999999999994,105.3188
,Sweden,2020-04-06 07:45:46,7206,477,205,60.1282,18.6435
,Switzerland,2020-04-06 07:45:46,21657,765,8056,46.8182,8.2275
,United Kingdom,2020-04-06 07:45:46,52279,5385,287,55.0,-3.0
,US,2020-04-06 07:45:46,368449,10993,19919,40.0,-100.0
,Afghanistan,2020-04-06 07:45:46,423,11,18,33.93911,67.709953
,Albania,2020-04-06 07:45:46,377,21,116,41.1533,20.1683
,Algeria,2020-04-06 07:45:46,1423,173,90,28.0339,1.6596
,Andorra,2020-04-06 07:45:46,525,21,31,42.5063,1.5218
,Angola,2020-04-06 07:45:46,16,2,2,-11.2027,17.8739
,Antigua and Barbuda,2020-04-06 07:45:46,15,0,0,17.0608,-61.7964
,Argentina,2020-04-06 07:45:46,1628,53,325,-38.4161,-63.6167
,Armenia,2020-04-06 07:45:46,853,8,87,40.0691,45.0382
,Azerbaijan,2020-04-06 07:45:46,641,7,44,40.1431,47.5769
,Bahamas,2020-04-06 07:45:46,33,5,5,25.025885,-78.035889
,Bahrain,2020-04-06 07:45:46,756,4,458,26.0275,50.55
,Bangladesh,2020-04-06 07:45:46,123,12,33,23685,90.3563
,Barbados,2020-04-06 07:45:46,60,2,6,13.1939,-59.5432
,Belarus,2020-04-06 07:45:46,700,13,53,53.7098,27.9534
,Belgium,2020-04-06 07:45:46,20814,1632,3986,50.8333,4.469936
,Belize,2020-04-06 07:45:46,7,1,0,17.1899,-88.4976
,Benin,2020-04-06 07:45:46,26,1,5,9.3077,2.3158
,Bhutan,2020-04-06 07:45:46,5,0,2,27.5142,90.4336
,Bolivia,2020-04-06 07:45:46,194,14,2,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-04-06 07:45:46,716,30,68,43.9159,17.6791
,Botswana,2020-04-06 07:45:46,6,1,0,-22.3285,24.6849
,Brazil,2020-04-06 07:45:46,12232,566,127,-14235,-51.9253
,Brunei,2020-04-06 07:45:46,135,1,82,4.5353,114.7277
,Bulgaria,2020-04-06 07:45:46,565,22,42,42.7339,25.4858
,Burkina Faso,2020-04-06 07:45:46,364,18,108,12.2383,-1.5616
,Burma,2020-04-06 07:45:46,22,1,0,21.9162,95956
,Burundi,2020-04-06 07:45:46,3,0,0,-3.3731,29.9189
,Cabo Verde,2020-04-06 07:45:46,7,1,1,16.5388,-23.0418
,Cambodia,2020-04-06 07:45:46,115,0,58,11.55,104.9167
,Cameroon,2020-04-06 07:45:46,658,9,17,3848,11.5021
,Central African Republic,2020-04-06 07:45:46,8,0,0,6.6111,20.9394
,Chad,2020-04-06 07:45:46,9,0,0,15.4542,18.7322
,Chile,2020-04-06 07:45:46,4815,37,728,-35.6751,-71543
,Colombia,2020-04-06 07:45:46,1579,46,88,4.5709,-74.2973
,Congo (Brazzaville),2020-04-06 07:45:46,45,5,2,-4.2634,15.2832
,Congo (Kinshasa),2020-04-06 07:45:46,161,18,5,-4.322447,15.307045
,Costa Rica,2020-04-06 07:45:46,467,2,18,9.7489,-83.7534
,Cote d'Ivoire,2020-04-06 07:45:46,323,3,41,7.54,-5.5471
,Croatia,2020-04-06 07:45:46,1222,16,130,45.1,15.2
,Cuba,2020-04-06 07:45:46,363,9,18,21.521757,-77.78116700000002
,Cyprus,2020-04-06 07:45:46,465,9,45,35.1264,33.4299
,Czechia,2020-04-06 07:45:46,4828,80,127,49.8175,15473
,Diamond Princess,2020-04-06 07:45:46,712,11,619,,
,Djibouti,2020-04-06 07:45:46,90,0,9,11.8251,42.5903
,Dominica,2020-04-06 07:45:46,15,0,1,15415,-61371
,Dominican Republic,2020-04-06 07:45:46,1828,86,33,18.7357,-70.1627
,Ecuador,2020-04-06 07:45:46,3747,191,100,-1.8312,-78.1834
,Egypt,2020-04-06 07:45:46,1322,85,259,26.820553000000004,30.802498
,El Salvador,2020-04-06 07:45:46,78,4,5,13.7942,-88.8965
,Equatorial Guinea,2020-04-06 07:45:46,16,0,3,1.6508,10.2679
,Eritrea,2020-04-06 07:45:46,31,0,0,15.1794,39.7823
,Estonia,2020-04-06 07:45:46,1108,19,62,58.5953,25.0136
,Eswatini,2020-04-06 07:45:46,10,0,4,-26.5225,31.4659
,Ethiopia,2020-04-06 07:45:46,44,2,4,9145,40.4897
,Fiji,2020-04-06 07:45:46,15,0,0,-17.7134,178065
,Gabon,2020-04-06 07:45:46,30,1,1,-0.8037,11.6094
,Gambia,2020-04-06 07:45:46,4,1,2,13.4432,-15.3101
,Georgia,2020-04-06 07:45:46,195,2,39,42.3154,43.3569
,Ghana,2020-04-06 07:45:46,287,5,31,7.9465,-1.0232
,Greece,2020-04-06 07:45:46,1755,79,269,39.0742,21.8243
,Grenada,2020-04-06 07:45:46,12,0,0,12.1165,-61679
,Guatemala,2020-04-06 07:45:46,74,3,17,15.7835,-90.2308
,Guinea,2020-04-06 07:45:46,128,0,5,9.9456,-9.6966
,Guinea-Bissau,2020-04-06 07:45:46,18,0,0,11.8037,-15.1804
,Guyana,2020-04-06 07:45:46,31,5,8,4.860416000000002,-58.93018000000001
,Haiti,2020-04-06 07:45:46,24,1,0,18.9712,-72.2852
,Holy See,2020-04-06 07:45:46,7,0,0,41.9029,12.4534
,Honduras,2020-04-06 07:45:46,305,22,6,15.2,-86.2419
,Hungary,2020-04-06 07:45:46,817,47,71,47.1625,19.5033
,India,2020-04-06 07:45:46,4858,136,382,20.593684,78.96288
,Indonesia,2020-04-06 07:45:46,2491,209,192,-0.7893,113.9213
,Iran,2020-04-06 07:45:46,60500,3739,24236,32.427908,53.68804599999999
,Iraq,2020-04-06 07:45:46,1031,64,344,33.223191,43.679291
,Israel,2020-04-06 07:45:46,9006,59,585,31.046051,34.851612
,Jamaica,2020-04-06 07:45:46,59,3,8,18.1096,-77.2975
,Japan,2020-04-06 07:45:46,3906,92,592,36.204824,138.252924
,Jordan,2020-04-06 07:45:46,349,6,126,31.24,36.51
,Kazakhstan,2020-04-06 07:45:46,670,6,47,48.0196,66.9237
,Kenya,2020-04-06 07:45:46,158,6,4,-0.0236,37.9062
,"Korea, South",2020-04-06 07:45:46,10331,192,6694,35.90775700000001,127.766922
,Kosovo,2020-04-06 07:45:46,145,1,23,42.602636,20.902977
,Kuwait,2020-04-06 07:45:46,665,1,103,29.31166,47.481766
,Kyrgyzstan,2020-04-06 07:45:46,228,4,33,41.20438,74.766098
,Laos,2020-04-06 07:45:46,12,0,0,19.85627,102.495496
,Latvia,2020-04-06 07:45:46,542,1,16,56.8796,24.6032
,Lebanon,2020-04-06 07:45:46,541,19,60,33.8547,35.8623
,Liberia,2020-04-06 07:45:46,14,3,3,6.4280550000000005,-9.429499
,Libya,2020-04-06 07:45:46,19,1,1,26.3351,17.228331
,Liechtenstein,2020-04-06 07:45:46,77,1,55,47.14,9.55
,Lithuania,2020-04-06 07:45:46,880,15,8,55.1694,23.8813
,Luxembourg,2020-04-06 07:45:46,2843,41,500,49.8153,6.1296
,MS Zaandam,2020-04-06 07:45:46,9,2,0,,
,Madagascar,2020-04-06 07:45:46,82,0,2,-18.766947,46.869107
,Malawi,2020-04-06 07:45:46,5,0,0,-13.254307999999998,34.301525
,Malaysia,2020-04-06 07:45:46,3793,62,1241,4.210483999999999,101.975766
,Maldives,2020-04-06 07:45:46,19,0,13,3.2028,73.2207
,Mali,2020-04-06 07:45:46,47,5,9,17.570692,-3.996166000000001
,Malta,2020-04-06 07:45:46,241,0,5,35.9375,14.3754
,Mauritania,2020-04-06 07:45:46,6,1,2,21.0079,-10.9408
,Mauritius,2020-04-06 07:45:46,244,7,7,-20.348404,57.552152
,Mexico,2020-04-06 07:45:46,2439,125,633,23.6345,-102.5528
,Moldova,2020-04-06 07:45:46,965,19,37,47.4116,28.3699
,Monaco,2020-04-06 07:45:46,77,1,4,43.7333,7.4167
,Mongolia,2020-04-06 07:45:46,15,0,4,46.8625,103.8467
,Montenegro,2020-04-06 07:45:46,239,2,1,42.708678000000006,19.37439
,Morocco,2020-04-06 07:45:46,1120,80,81,31.7917,-7.0926
,Mozambique,2020-04-06 07:45:46,10,0,1,-18.665695,35.529562
,Namibia,2020-04-06 07:45:46,16,0,3,-22.9576,18.4904
,Nepal,2020-04-06 07:45:46,9,0,1,28.1667,84.25
,New Zealand,2020-04-06 07:45:46,1160,1,241,-40.9006,174886
,Nicaragua,2020-04-06 07:45:46,6,1,0,12.865416,-85.207229
,Niger,2020-04-06 07:45:46,253,10,26,17.607789,8.081666
,Nigeria,2020-04-06 07:45:46,238,5,35,9082,8.6753
,North Macedonia,2020-04-06 07:45:46,570,23,30,41.6086,21.7453
,Oman,2020-04-06 07:45:46,371,2,67,21.512583,55.92325500000001
,Pakistan,2020-04-06 07:45:46,3864,54,429,30.3753,69.3451
,Panama,2020-04-06 07:45:46,2100,55,14,8538,-80.7821
,Papua New Guinea,2020-04-06 07:45:46,2,0,0,-6.314993,143.95555
,Paraguay,2020-04-06 07:45:46,115,5,15,-23.4425,-58.4438
,Peru,2020-04-06 07:45:46,2561,92,997,-9.19,-75.0152
,Philippines,2020-04-06 07:45:46,3660,163,73,12.879721,121.774017
,Poland,2020-04-06 07:45:46,4413,107,191,51.9194,19.1451
,Portugal,2020-04-06 07:45:46,11730,311,140,39.3999,-8.2245
,Qatar,2020-04-06 07:45:46,1832,4,131,25.3548,51.1839
,Romania,2020-04-06 07:45:46,4057,176,406,45.9432,24.9668
,Rwanda,2020-04-06 07:45:46,105,0,4,-1.9403,29.8739
,Saint Kitts and Nevis,2020-04-06 07:45:46,10,0,0,17.357822,-62.782998
,Saint Lucia,2020-04-06 07:45:46,14,0,1,13.9094,-60.9789
,Saint Vincent and the Grenadines,2020-04-06 07:45:46,7,0,1,12.9843,-61.2872
,San Marino,2020-04-06 07:45:46,277,32,35,43.9424,12.4578
,Sao Tome and Principe,2020-04-06 07:45:46,4,0,0,0.18636,6.613081
,Saudi Arabia,2020-04-06 07:45:46,2752,38,551,23.885942,45.079162
,Senegal,2020-04-06 07:45:46,226,2,92,14.4974,-14.4524
,Serbia,2020-04-06 07:45:46,2200,58,0,44.0165,21.0059
,Seychelles,2020-04-06 07:45:46,11,0,0,-4.6796,55492
,Sierra Leone,2020-04-06 07:45:46,6,0,0,8.460555000000001,-11.779889
,Singapore,2020-04-06 07:45:46,1375,6,344,1.2833,103.8333
,Slovakia,2020-04-06 07:45:46,534,2,8,48669,19699
,Slovenia,2020-04-06 07:45:46,1021,30,102,46.1512,14.9955
,Somalia,2020-04-06 07:45:46,7,0,1,5.152149,46.199616
,South Africa,2020-04-06 07:45:46,1686,12,95,-30.5595,22.9375
,South Sudan,2020-04-06 07:45:46,1,0,0,6.877000000000002,31307
,Spain,2020-04-06 07:45:46,136675,13341,40437,40.463667,-3.74922
,Sri Lanka,2020-04-06 07:45:46,180,6,38,7.873054,80.77179699999998
,Sudan,2020-04-06 07:45:46,14,2,2,12.8628,30.2176
,Suriname,2020-04-06 07:45:46,10,1,0,3.9193,-56.0278
,Syria,2020-04-06 07:45:46,19,2,2,34.802075,38.99681500000001
,Taiwan*,2020-04-06 07:45:46,373,5,57,23.7,121.0
,Tanzania,2020-04-06 07:45:46,24,1,3,-6.369028,34.888822
