Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-04-17 07:38:45,6547,67,4124,-25.0,133.0
,Austria,2020-04-17 07:38:45,14595,431,9704,47.5162,14.5501
,Canada,2020-04-17 07:38:45,32857,1356,10559,60.001000000000005,-95001
,China,2020-04-17 07:38:45,83784,4636,77578,30.5928,114.3055
,Denmark,2020-04-17 07:38:45,7268,336,3573,56.0,10.0
,Finland,2020-04-17 07:38:45,3489,82,1700,61.9241,25.7482
,France,2020-04-17 07:38:45,149130,18703,35009,46.2276,2.2137
,Germany,2020-04-17 07:38:45,141397,4352,83114,51.1657,10.4515
,Iceland,2020-04-17 07:38:45,1754,9,1224,64.9631,-19.0208
,Ireland,2020-04-17 07:38:45,13980,530,77,53.1424,-7.6921
,Italy,2020-04-17 07:38:45,172434,22745,42727,41.8719,12.5674
,Netherlands,2020-04-17 07:38:45,30619,3471,315,52.3167,5.55
,Norway,2020-04-17 07:38:45,6992,162,32,60472,8.4689
,Russia,2020-04-17 07:38:45,32008,273,2590,61.523999999999994,105.3188
,Sweden,2020-04-17 07:38:45,13216,1400,550,60.1282,18.6435
,Switzerland,2020-04-17 07:38:45,27078,1327,16400,46.8182,8.2275
,United Kingdom,2020-04-17 07:38:45,109769,14607,396,55.0,-3.0
,US,2020-04-17 07:38:45,706779,37079,59672,40.0,-100.0
,Afghanistan,2020-04-17 07:38:45,906,30,99,33.93911,67.709953
,Albania,2020-04-17 07:38:45,539,26,283,41.1533,20.1683
,Algeria,2020-04-17 07:38:45,2418,364,846,28.0339,1.6596
,Andorra,2020-04-17 07:38:45,696,35,191,42.5063,1.5218
,Angola,2020-04-17 07:38:45,19,2,5,-11.2027,17.8739
,Antigua and Barbuda,2020-04-17 07:38:45,23,3,3,17.0608,-61.7964
,Argentina,2020-04-17 07:38:45,2758,129,666,-38.4161,-63.6167
,Armenia,2020-04-17 07:38:45,1248,20,523,40.0691,45.0382
,Azerbaijan,2020-04-17 07:38:45,1340,15,528,40.1431,47.5769
,Bahamas,2020-04-17 07:38:45,54,9,9,25.025885,-78.035889
,Bahrain,2020-04-17 07:38:45,1740,7,725,26.0275,50.55
,Bangladesh,2020-04-17 07:38:45,1838,75,58,23685,90.3563
,Barbados,2020-04-17 07:38:45,75,5,15,13.1939,-59.5432
,Belarus,2020-04-17 07:38:45,4779,42,342,53.7098,27.9534
,Belgium,2020-04-17 07:38:45,36138,5163,7961,50.8333,4.469936
,Belize,2020-04-17 07:38:45,18,2,0,17.1899,-88.4976
,Benin,2020-04-17 07:38:45,35,1,18,9.3077,2.3158
,Bhutan,2020-04-17 07:38:45,5,0,2,27.5142,90.4336
,Bolivia,2020-04-17 07:38:45,493,31,31,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-04-17 07:38:45,1214,46,320,43.9159,17.6791
,Botswana,2020-04-17 07:38:45,15,1,0,-22.3285,24.6849
,Brazil,2020-04-17 07:38:45,34221,2171,14026,-14235,-51.9253
,Brunei,2020-04-17 07:38:45,136,1,112,4.5353,114.7277
,Bulgaria,2020-04-17 07:38:45,865,41,153,42.7339,25.4858
,Burkina Faso,2020-04-17 07:38:45,557,35,294,12.2383,-1.5616
,Burma,2020-04-17 07:38:45,94,5,5,21.9162,95956
,Burundi,2020-04-17 07:38:45,5,1,0,-3.3731,29.9189
,Cabo Verde,2020-04-17 07:38:45,56,1,1,16.5388,-23.0418
,Cambodia,2020-04-17 07:38:45,122,0,103,11.55,104.9167
,Cameroon,2020-04-17 07:38:45,1017,22,177,3848,11.5021
,Central African Republic,2020-04-17 07:38:45,12,0,4,6.6111,20.9394
,Chad,2020-04-17 07:38:45,27,0,5,15.4542,18.7322
,Chile,2020-04-17 07:38:45,9252,116,3621,-35.6751,-71543
,Colombia,2020-04-17 07:38:45,3439,153,634,4.5709,-74.2973
,Congo (Brazzaville),2020-04-17 07:38:45,143,6,11,-4.2634,15.2832
,Congo (Kinshasa),2020-04-17 07:38:45,287,23,25,-4.322447,15.307045
,Costa Rica,2020-04-17 07:38:45,649,4,88,9.7489,-83.7534
,Cote d'Ivoire,2020-04-17 07:38:45,688,6,193,7.54,-5.5471
,Croatia,2020-04-17 07:38:45,1814,36,600,45.1,15.2
,Cuba,2020-04-17 07:38:45,923,31,192,21.521757,-77.78116700000002
,Cyprus,2020-04-17 07:38:45,750,12,77,35.1264,33.4299
,Czechia,2020-04-17 07:38:45,6553,176,1183,49.8175,15473
,Diamond Princess,2020-04-17 07:38:45,712,13,644,,
,Djibouti,2020-04-17 07:38:45,732,2,76,11.8251,42.5903
,Dominica,2020-04-17 07:38:45,16,0,8,15415,-61371
,Dominican Republic,2020-04-17 07:38:45,4126,200,268,18.7357,-70.1627
