Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-04-09 07:30:00,6108,51,1472,-25.0,133.0
,Austria,2020-04-09 07:30:00,13306,295,5240,47.5162,14.5501
,Canada,2020-04-09 07:30:00,20765,510,5311,60.001000000000005,-95001
,China,2020-04-09 07:30:00,82924,3340,77758,30.5928,114.3055
,Denmark,2020-04-09 07:30:00,5830,237,1892,56.0,10.0
,Finland,2020-04-09 07:30:00,2605,42,300,61.9241,25.7482
,France,2020-04-09 07:30:00,118785,12228,23441,46.2276,2.2137
,Germany,2020-04-09 07:30:00,118235,2607,52407,51.1657,10.4515
,Iceland,2020-04-09 07:30:00,1648,6,688,64.9631,-19.0208
,Ireland,2020-04-09 07:30:00,6574,263,25,53.1424,-7.6921
,Italy,2020-04-09 07:30:00,143626,18279,28470,41.8719,12.5674
,Netherlands,2020-04-09 07:30:00,21910,2405,280,52.3167,5.55
,Norway,2020-04-09 07:30:00,6219,108,32,60472,8.4689
,Russia,2020-04-09 07:30:00,10131,76,698,61.523999999999994,105.3188
,Sweden,2020-04-09 07:30:00,9141,793,205,60.1282,18.6435
,Switzerland,2020-04-09 07:30:00,24051,948,10600,46.8182,8.2275
,United Kingdom,2020-04-09 07:30:00,65872,7993,359,55.0,-3.0
,US,2020-04-09 07:30:00,466299,16686,26522,40.0,-100.0
,Afghanistan,2020-04-09 07:30:00,521,15,32,33.93911,67.709953
,Albania,2020-04-09 07:30:00,409,23,165,41.1533,20.1683
,Algeria,2020-04-09 07:30:00,1666,235,347,28.0339,1.6596
,Andorra,2020-04-09 07:30:00,583,25,58,42.5063,1.5218
,Angola,2020-04-09 07:30:00,19,2,2,-11.2027,17.8739
,Antigua and Barbuda,2020-04-09 07:30:00,19,2,0,17.0608,-61.7964
,Argentina,2020-04-09 07:30:00,1894,79,365,-38.4161,-63.6167
,Armenia,2020-04-09 07:30:00,921,10,138,40.0691,45.0382
,Azerbaijan,2020-04-09 07:30:00,926,9,101,40.1431,47.5769
,Bahamas,2020-04-09 07:30:00,41,8,5,25.025885,-78.035889
,Bahrain,2020-04-09 07:30:00,887,5,519,26.0275,50.55
,Bangladesh,2020-04-09 07:30:00,330,21,33,23685,90.3563
,Barbados,2020-04-09 07:30:00,66,3,11,13.1939,-59.5432
,Belarus,2020-04-09 07:30:00,1486,16,139,53.7098,27.9534
,Belgium,2020-04-09 07:30:00,24983,2523,5164,50.8333,4.469936
,Belize,2020-04-09 07:30:00,9,1,0,17.1899,-88.4976
,Benin,2020-04-09 07:30:00,26,1,5,9.3077,2.3158
,Bhutan,2020-04-09 07:30:00,5,0,2,27.5142,90.4336
,Bolivia,2020-04-09 07:30:00,268,19,2,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-04-09 07:30:00,875,35,118,43.9159,17.6791
,Botswana,2020-04-09 07:30:00,13,1,0,-22.3285,24.6849
,Brazil,2020-04-09 07:30:00,18176,957,173,-14235,-51.9253
,Brunei,2020-04-09 07:30:00,135,1,92,4.5353,114.7277
,Bulgaria,2020-04-09 07:30:00,624,24,54,42.7339,25.4858
,Burkina Faso,2020-04-09 07:30:00,443,24,146,12.2383,-1.5616
,Burma,2020-04-09 07:30:00,27,3,2,21.9162,95956
,Burundi,2020-04-09 07:30:00,3,0,0,-3.3731,29.9189
,Cabo Verde,2020-04-09 07:30:00,7,1,1,16.5388,-23.0418
,Cambodia,2020-04-09 07:30:00,119,0,72,11.55,104.9167
,Cameroon,2020-04-09 07:30:00,803,12,61,3848,11.5021
,Central African Republic,2020-04-09 07:30:00,8,0,0,6.6111,20.9394
,Chad,2020-04-09 07:30:00,11,0,2,15.4542,18.7322
,Chile,2020-04-09 07:30:00,5972,57,1274,-35.6751,-71543
,Colombia,2020-04-09 07:30:00,2223,69,174,4.5709,-74.2973
,Congo (Brazzaville),2020-04-09 07:30:00,60,5,5,-4.2634,15.2832
,Congo (Kinshasa),2020-04-09 07:30:00,215,20,13,-4.322447,15.307045
,Costa Rica,2020-04-09 07:30:00,539,3,30,9.7489,-83.7534
,Cote d'Ivoire,2020-04-09 07:30:00,444,3,52,7.54,-5.5471
,Croatia,2020-04-09 07:30:00,1407,20,219,45.1,15.2
,Cuba,2020-04-09 07:30:00,515,15,28,21.521757,-77.78116700000002
,Cyprus,2020-04-09 07:30:00,564,10,53,35.1264,33.4299
,Czechia,2020-04-09 07:30:00,5589,113,309,49.8175,15473
,Diamond Princess,2020-04-09 07:30:00,712,11,619,,
,Djibouti,2020-04-09 07:30:00,140,1,28,11.8251,42.5903
,Dominica,2020-04-09 07:30:00,16,0,5,15415,-61371
,Dominican Republic,2020-04-09 07:30:00,2349,118,80,18.7357,-70.1627
,Ecuador,2020-04-09 07:30:00,4965,272,339,-1.8312,-78.1834
,Egypt,2020-04-09 07:30:00,1699,118,348,26.820553000000004,30.802498
,El Salvador,2020-04-09 07:30:00,117,6,15,13.7942,-88.8965
,Equatorial Guinea,2020-04-09 07:30:00,18,0,3,1.6508,10.2679
,Eritrea,2020-04-09 07:30:00,33,0,0,15.1794,39.7823
,Estonia,2020-04-09 07:30:00,1207,24,83,58.5953,25.0136
