Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-05-09 09:32:31,6941,97,6163,-25.0,133.0
,Austria,2020-05-09 09:32:31,15833,615,13928,47.5162,14.5501
,Canada,2020-05-09 09:32:31,68918,4823,31262,60.001000000000005,-95001
,China,2020-05-09 09:32:31,83990,4637,79127,30.5928,114.3055
,Denmark,2020-05-09 09:32:31,10517,526,8291,56.0,10.0
,Finland,2020-05-09 09:32:31,5913,265,4000,61.9241,25.7482
,France,2020-05-09 09:32:31,176782,26313,56148,46.2276,2.2137
,Germany,2020-05-09 09:32:31,171324,7549,144400,51.1657,10.4515
,Iceland,2020-05-09 09:32:31,1801,10,1773,64.9631,-19.0208
,Ireland,2020-05-09 09:32:31,22760,1446,17110,53.1424,-7.6921
,Italy,2020-05-09 09:32:31,218268,30395,103031,41.8719,12.5674
,Netherlands,2020-05-09 09:32:31,42581,5441,149,52.3167,5.55
,Norway,2020-05-09 09:32:31,8099,219,32,60472,8.4689
,Russia,2020-05-09 09:32:31,209688,1915,34306,61.523999999999994,105.3188
,Sweden,2020-05-09 09:32:31,25921,3220,4971,60.1282,18.6435
,Switzerland,2020-05-09 09:32:31,30251,1830,26400,46.8182,8.2275
,United Kingdom,2020-05-09 09:32:31,216526,31662,1002,55.0,-3.0
,US,2020-05-09 09:32:31,1309541,78794,212534,40.0,-100.0
,Afghanistan,2020-05-09 09:32:31,4033,115,502,33.93911,67.709953
,Albania,2020-05-09 09:32:31,856,31,627,41.1533,20.1683
,Algeria,2020-05-09 09:32:31,5558,494,2546,28.0339,1.6596
,Andorra,2020-05-09 09:32:31,754,48,545,42.5063,1.5218
,Angola,2020-05-09 09:32:31,43,2,13,-11.2027,17.8739
,Antigua and Barbuda,2020-05-09 09:32:31,25,3,19,17.0608,-61.7964
,Argentina,2020-05-09 09:32:31,5776,300,1728,-38.4161,-63.6167
,Armenia,2020-05-09 09:32:31,3313,45,1325,40.0691,45.0382
,Azerbaijan,2020-05-09 09:32:31,2422,31,1620,40.1431,47.5769
,Bahamas,2020-05-09 09:32:31,92,11,37,25.025885,-78.035889
,Bahrain,2020-05-09 09:32:31,4774,8,2055,26.0275,50.55
,Bangladesh,2020-05-09 09:32:31,14657,228,2414,23685,90.3563
,Barbados,2020-05-09 09:32:31,84,7,57,13.1939,-59.5432
,Belarus,2020-05-09 09:32:31,22052,126,6050,53.7098,27.9534
,Belgium,2020-05-09 09:32:31,53081,8656,13642,50.8333,4.469936
,Belize,2020-05-09 09:32:31,18,2,16,17.1899,-88.4976
,Benin,2020-05-09 09:32:31,284,2,62,9.3077,2.3158
,Bhutan,2020-05-09 09:32:31,7,0,5,27.5142,90.4336
,Bolivia,2020-05-09 09:32:31,2437,114,258,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-05-09 09:32:31,2090,102,1059,43.9159,17.6791
,Botswana,2020-05-09 09:32:31,23,1,12,-22.3285,24.6849
,Brazil,2020-05-09 09:32:31,156061,10656,61685,-14235,-51.9253
,Brunei,2020-05-09 09:32:31,141,1,134,4.5353,114.7277
,Bulgaria,2020-05-09 09:32:31,1955,90,444,42.7339,25.4858
,Burkina Faso,2020-05-09 09:32:31,748,48,569,12.2383,-1.5616
,Burma,2020-05-09 09:32:31,178,6,68,21.9162,95956
,Burundi,2020-05-09 09:32:31,15,1,7,-3.3731,29.9189
,Cabo Verde,2020-05-09 09:32:31,236,2,56,16.5388,-23.0418
,Cambodia,2020-05-09 09:32:31,122,0,120,11.55,104.9167
,Cameroon,2020-05-09 09:32:31,2274,108,1232,3.8480000000000003,11.5021
,Central African Republic,2020-05-09 09:32:31,143,0,10,6.6111,20.9394
,Chad,2020-05-09 09:32:31,322,31,53,15.4542,18.7322
,Chile,2020-05-09 09:32:31,27219,304,12667,-35.6751,-71543
,Colombia,2020-05-09 09:32:31,10495,445,2569,4.5709,-74.2973
,Comoros,2020-05-09 09:32:31,11,1,0,-11.6455,43.3333
,Congo (Brazzaville),2020-05-09 09:32:31,274,10,33,-4.2634,15.2832
,Congo (Kinshasa),2020-05-09 09:32:31,937,39,130,-4.322447,15.307045
,Costa Rica,2020-05-09 09:32:31,780,6,480,9.7489,-83.7534
,Cote d'Ivoire,2020-05-09 09:32:31,1667,21,769,7.54,-5.5471
,Croatia,2020-05-09 09:32:31,2176,87,1726,45.1,15.2
,Cuba,2020-05-09 09:32:31,1754,74,1140,21.521757,-77.78116700000002
,Cyprus,2020-05-09 09:32:31,892,15,401,35.1264,33.4299
,Czechia,2020-05-09 09:32:31,8095,276,4448,49.8175,15.472999999999999
,Diamond Princess,2020-05-09 09:32:31,712,13,645,,
,Djibouti,2020-05-09 09:32:31,1189,3,834,11.8251,42.5903
,Dominica,2020-05-09 09:32:31,16,0,14,15415,-61371
,Dominican Republic,2020-05-09 09:32:31,9882,385,2584,18.7357,-70.1627
,Ecuador,2020-05-09 09:32:31,29071,1717,3433,-1.8312,-78.1834
,Egypt,2020-05-09 09:32:31,8964,514,2002,26.820553000000004,30.802497999999996
,El Salvador,2020-05-09 09:32:31,889,17,293,13.7942,-88.8965
,Equatorial Guinea,2020-05-09 09:32:31,439,4,13,1.6508,10.2679
,Eritrea,2020-05-09 09:32:31,39,0,37,15.1794,39.7823
,Estonia,2020-05-09 09:32:31,1739,60,750,58.5953,25.0136
,Eswatini,2020-05-09 09:32:31,163,2,14,-26.5225,31.4659
,Ethiopia,2020-05-09 09:32:31,239,5,99,9145,40.4897
,Fiji,2020-05-09 09:32:31,18,0,14,-17.7134,178065
,Gabon,2020-05-09 09:32:31,661,8,110,-0.8037,11.6094
,Gambia,2020-05-09 09:32:31,20,1,9,13.4432,-15.3101
,Georgia,2020-05-09 09:32:31,635,10,309,42.3154,43.3569
,Ghana,2020-05-09 09:32:31,4263,22,378,7.9465,-1.0232
,Greece,2020-05-09 09:32:31,2710,151,1374,39.0742,21.8243
,Grenada,2020-05-09 09:32:31,21,0,13,12.1165,-61.678999999999995
,Guatemala,2020-05-09 09:32:31,967,24,104,15.7835,-90.2308
,Guinea,2020-05-09 09:32:31,2042,11,698,9.9456,-9.6966
,Guinea-Bissau,2020-05-09 09:32:31,641,3,25,11.8037,-15.1804
,Guyana,2020-05-09 09:32:31,97,10,35,4.860416000000002,-58.93018000000001
,Haiti,2020-05-09 09:32:31,151,12,17,18.9712,-72.2852
,Holy See,2020-05-09 09:32:31,12,0,2,41.9029,12.4534
,Honduras,2020-05-09 09:32:31,1830,108,195,15.2,-86.2419
,Hungary,2020-05-09 09:32:31,3263,413,933,47.1625,19.5033
,India,2020-05-09 09:32:31,62939,2109,19358,20.593684,78.96288
,Indonesia,2020-05-09 09:32:31,14032,973,2698,-0.7893,113.9213
,Iran,2020-05-09 09:32:31,106220,6589,85064,32.427908,53.68804599999999
,Iraq,2020-05-09 09:32:31,2679,107,1702,33.223191,43.679291
,Israel,2020-05-09 09:32:31,16458,248,11384,31.046051000000002,34.851612
,Jamaica,2020-05-09 09:32:31,498,9,78,18.1096,-77.2975
,Japan,2020-05-09 09:32:31,15663,607,5906,36.204824,138.252924
,Jordan,2020-05-09 09:32:31,522,9,387,31.24,36.51
,Kazakhstan,2020-05-09 09:32:31,5056,31,1828,48.0196,66.9237
,Kenya,2020-05-09 09:32:31,649,30,207,-0.0236,37.9062
,"Korea, South",2020-05-09 09:32:31,10874,256,9610,35.90775700000001,127.766922
,Kosovo,2020-05-09 09:32:31,862,28,622,42.602636,20.902977
,Kuwait,2020-05-09 09:32:31,7623,49,2622,29.311659999999996,47.481766
,Kyrgyzstan,2020-05-09 09:32:31,1002,12,675,41.20438,74.766098
,Laos,2020-05-09 09:32:31,19,0,13,19.856270000000002,102.495496
,Latvia,2020-05-09 09:32:31,939,18,464,56.8796,24.6032
,Lebanon,2020-05-09 09:32:31,809,26,234,33.8547,35.8623
,Liberia,2020-05-09 09:32:31,199,20,79,6.4280550000000005,-9.429499
,Libya,2020-05-09 09:32:31,64,3,24,26.3351,17.228331
,Liechtenstein,2020-05-09 09:32:31,82,1,55,47.14,9.55
,Lithuania,2020-05-09 09:32:31,1479,50,828,55.1694,23.8813
,Luxembourg,2020-05-09 09:32:31,3877,101,3550,49.8153,6.1296
