Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-04-08 07:40:41,6104,51,1450,-25.0,133.0
,Austria,2020-04-08 07:40:41,12981,273,4512,47.5162,14.5501
,Canada,2020-04-08 07:40:41,19290,436,4646,60.001000000000005,-95001
,China,2020-04-08 07:40:41,82870,3339,77649,30.5928,114.3055
,Denmark,2020-04-08 07:40:41,5597,218,1768,56.0,10.0
,Finland,2020-04-08 07:40:41,2487,40,300,61.9241,25.7482
,France,2020-04-08 07:40:41,83080,10887,21461,46.2276,2.2137
,Germany,2020-04-08 07:40:41,113296,2349,46300,51.1657,10.4515
,Iceland,2020-04-08 07:40:41,1616,6,633,64.9631,-19.0208
,Ireland,2020-04-08 07:40:41,6074,235,25,53.1424,-7.6921
,Italy,2020-04-08 07:40:41,139422,17669,26491,41.8719,12.5674
,Netherlands,2020-04-08 07:40:41,20682,2255,272,52.3167,5.55
,Norway,2020-04-08 07:40:41,6042,101,32,60472,8.4689
,Russia,2020-04-08 07:40:41,8672,63,580,61.523999999999994,105.3188
,Sweden,2020-04-08 07:40:41,8419,687,205,60.1282,18.6435
,Switzerland,2020-04-08 07:40:41,23280,895,9800,46.8182,8.2275
,United Kingdom,2020-04-08 07:40:41,61474,7111,345,55.0,-3.0
,US,2020-04-08 07:40:41,432438,14808,24125,40.0,-100.0
,Afghanistan,2020-04-08 07:40:41,444,14,29,33.93911,67.709953
,Albania,2020-04-08 07:40:41,400,22,154,41.1533,20.1683
,Algeria,2020-04-08 07:40:41,1572,205,237,28.0339,1.6596
,Andorra,2020-04-08 07:40:41,564,23,52,42.5063,1.5218
,Angola,2020-04-08 07:40:41,19,2,2,-11.2027,17.8739
,Antigua and Barbuda,2020-04-08 07:40:41,19,2,0,17.0608,-61.7964
,Argentina,2020-04-08 07:40:41,1795,65,358,-38.4161,-63.6167
,Armenia,2020-04-08 07:40:41,921,10,138,40.0691,45.0382
,Azerbaijan,2020-04-08 07:40:41,822,8,63,40.1431,47.5769
,Bahamas,2020-04-08 07:40:41,40,7,5,25.025885,-78.035889
,Bahrain,2020-04-08 07:40:41,823,5,477,26.0275,50.55
,Bangladesh,2020-04-08 07:40:41,218,20,33,23685,90.3563
,Barbados,2020-04-08 07:40:41,63,3,8,13.1939,-59.5432
,Belarus,2020-04-08 07:40:41,1066,13,77,53.7098,27.9534
,Belgium,2020-04-08 07:40:41,23403,2240,4681,50.8333,4.469936
,Belize,2020-04-08 07:40:41,8,1,0,17.1899,-88.4976
,Benin,2020-04-08 07:40:41,26,1,5,9.3077,2.3158
,Bhutan,2020-04-08 07:40:41,5,0,2,27.5142,90.4336
,Bolivia,2020-04-08 07:40:41,264,18,2,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-04-08 07:40:41,839,35,95,43.9159,17.6791
,Botswana,2020-04-08 07:40:41,6,1,0,-22.3285,24.6849
,Brazil,2020-04-08 07:40:41,16195,822,127,-14235,-51.9253
,Brunei,2020-04-08 07:40:41,135,1,91,4.5353,114.7277
,Bulgaria,2020-04-08 07:40:41,611,24,48,42.7339,25.4858
,Burkina Faso,2020-04-08 07:40:41,414,23,134,12.2383,-1.5616
,Burma,2020-04-08 07:40:41,22,3,0,21.9162,95956
,Burundi,2020-04-08 07:40:41,3,0,0,-3.3731,29.9189
,Cabo Verde,2020-04-08 07:40:41,7,1,1,16.5388,-23.0418
,Cambodia,2020-04-08 07:40:41,117,0,63,11.55,104.9167
,Cameroon,2020-04-08 07:40:41,730,10,60,3848,11.5021
,Central African Republic,2020-04-08 07:40:41,8,0,0,6.6111,20.9394
,Chad,2020-04-08 07:40:41,10,0,2,15.4542,18.7322
,Chile,2020-04-08 07:40:41,5546,48,1115,-35.6751,-71543
,Colombia,2020-04-08 07:40:41,2054,55,123,4.5709,-74.2973
,Congo (Brazzaville),2020-04-08 07:40:41,45,5,2,-4.2634,15.2832
,Congo (Kinshasa),2020-04-08 07:40:41,180,18,9,-4.322447,15.307045
,Costa Rica,2020-04-08 07:40:41,502,3,29,9.7489,-83.7534
,Cote d'Ivoire,2020-04-08 07:40:41,384,3,48,7.54,-5.5471
,Croatia,2020-04-08 07:40:41,1343,19,179,45.1,15.2
,Cuba,2020-04-08 07:40:41,457,12,27,21.521757,-77.78116700000002
,Cyprus,2020-04-08 07:40:41,526,9,52,35.1264,33.4299
,Czechia,2020-04-08 07:40:41,5335,104,243,49.8175,15473
,Diamond Princess,2020-04-08 07:40:41,712,11,619,,
,Djibouti,2020-04-08 07:40:41,135,0,25,11.8251,42.5903
,Dominica,2020-04-08 07:40:41,15,0,1,15415,-61371
,Dominican Republic,2020-04-08 07:40:41,2111,108,50,18.7357,-70.1627
,Ecuador,2020-04-08 07:40:41,4450,242,140,-1.8312,-78.1834
,Egypt,2020-04-08 07:40:41,1560,103,305,26.820553000000004,30.802498
,El Salvador,2020-04-08 07:40:41,103,5,10,13.7942,-88.8965
,Equatorial Guinea,2020-04-08 07:40:41,18,0,3,1.6508,10.2679
,Eritrea,2020-04-08 07:40:41,33,0,0,15.1794,39.7823
,Estonia,2020-04-08 07:40:41,1185,24,72,58.5953,25.0136
,Eswatini,2020-04-08 07:40:41,12,0,7,-26.5225,31.4659
,Ethiopia,2020-04-08 07:40:41,55,2,4,9145,40.4897
,Fiji,2020-04-08 07:40:41,15,0,0,-17.7134,178065
,Gabon,2020-04-08 07:40:41,34,1,1,-0.8037,11.6094
,Gambia,2020-04-08 07:40:41,4,1,2,13.4432,-15.3101
,Georgia,2020-04-08 07:40:41,214,3,50,42.3154,43.3569
,Ghana,2020-04-08 07:40:41,313,6,34,7.9465,-1.0232
,Greece,2020-04-08 07:40:41,1884,83,269,39.0742,21.8243
,Grenada,2020-04-08 07:40:41,12,0,0,12.1165,-61679
,Guatemala,2020-04-08 07:40:41,87,3,17,15.7835,-90.2308
,Guinea,2020-04-08 07:40:41,164,0,5,9.9456,-9.6966
,Guinea-Bissau,2020-04-08 07:40:41,33,0,0,11.8037,-15.1804
,Guyana,2020-04-08 07:40:41,37,6,8,4.860416000000002,-58.93018000000001
,Haiti,2020-04-08 07:40:41,27,1,0,18.9712,-72.2852
,Holy See,2020-04-08 07:40:41,8,0,2,41.9029,12.4534
,Honduras,2020-04-08 07:40:41,343,23,6,15.2,-86.2419
,Hungary,2020-04-08 07:40:41,980,66,96,47.1625,19.5033
,India,2020-04-08 07:40:41,5916,178,506,20.593684,78.96288
,Indonesia,2020-04-08 07:40:41,2956,240,222,-0.7893,113.9213
,Iran,2020-04-08 07:40:41,64586,3993,29812,32.427908,53.68804599999999
,Iraq,2020-04-08 07:40:41,1202,69,452,33.223191,43.679291
,Israel,2020-04-08 07:40:41,9404,73,801,31.046051,34.851612
,Jamaica,2020-04-08 07:40:41,63,4,10,18.1096,-77.2975
,Japan,2020-04-08 07:40:41,4667,94,632,36.204824,138.252924
,Jordan,2020-04-08 07:40:41,358,6,150,31.24,36.51
,Kazakhstan,2020-04-08 07:40:41,759,7,54,48.0196,66.9237
,Kenya,2020-04-08 07:40:41,179,6,9,-0.0236,37.9062
,"Korea, South",2020-04-08 07:40:41,10423,204,6973,35.90775700000001,127.766922
,Kosovo,2020-04-08 07:40:41,184,5,30,42.602636,20.902977
,Kuwait,2020-04-08 07:40:41,855,1,111,29.31166,47.481766
,Kyrgyzstan,2020-04-08 07:40:41,280,4,35,41.20438,74.766098
,Laos,2020-04-08 07:40:41,15,0,0,19.85627,102.495496
,Latvia,2020-04-08 07:40:41,589,2,16,56.8796,24.6032
,Lebanon,2020-04-08 07:40:41,576,19,62,33.8547,35.8623
,Liberia,2020-04-08 07:40:41,31,4,3,6.4280550000000005,-9.429499
,Libya,2020-04-08 07:40:41,21,1,8,26.3351,17.228331
,Liechtenstein,2020-04-08 07:40:41,78,1,55,47.14,9.55
,Lithuania,2020-04-08 07:40:41,955,15,8,55.1694,23.8813
,Luxembourg,2020-04-08 07:40:41,3034,46,500,49.8153,6.1296
,MS Zaandam,2020-04-08 07:40:41,9,2,0,,
,Madagascar,2020-04-08 07:40:41,93,0,11,-18.766947,46.869107
,Malawi,2020-04-08 07:40:41,8,1,0,-13.254307999999998,34.301525
,Malaysia,2020-04-08 07:40:41,4119,65,1487,4.210483999999999,101.975766
,Maldives,2020-04-08 07:40:41,19,0,13,3.2028,73.2207
,Mali,2020-04-08 07:40:41,59,7,16,17.570692,-3.996166000000001
,Malta,2020-04-08 07:40:41,299,1,16,35.9375,14.3754
,Mauritania,2020-04-08 07:40:41,6,1,2,21.0079,-10.9408
,Mauritius,2020-04-08 07:40:41,273,7,19,-20.348404,57.552152
,Mexico,2020-04-08 07:40:41,3181,174,633,23.6345,-102.5528
,Moldova,2020-04-08 07:40:41,1174,28,43,47.4116,28.3699
,Monaco,2020-04-08 07:40:41,81,1,4,43.7333,7.4167
,Mongolia,2020-04-08 07:40:41,16,0,4,46.8625,103.8467
,Montenegro,2020-04-08 07:40:41,252,2,4,42.708678000000006,19.37439
,Morocco,2020-04-08 07:40:41,1275,93,97,31.7917,-7.0926
,Mozambique,2020-04-08 07:40:41,17,0,1,-18.665695,35.529562
,Namibia,2020-04-08 07:40:41,16,0,3,-22.9576,18.4904
,Nepal,2020-04-08 07:40:41,9,0,1,28.1667,84.25
,New Zealand,2020-04-08 07:40:41,1239,1,317,-40.9006,174886
,Nicaragua,2020-04-08 07:40:41,6,1,0,12.865416,-85.207229
,Niger,2020-04-08 07:40:41,342,11,28,17.607789,8.081666
