Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-06-03 10:33:08,7240.0,102.0,6664.0,-25.0,133.0
,Austria,2020-06-03 10:33:08,16805.0,670.0,15717.0,47.5162,14.5501
,Canada,2020-06-03 10:33:08,94641.0,7579.0,51506.0,60.001000000000005,-95001
,China,2020-06-03 10:33:08,84165.0,4638.0,79407.0,30.5928,114.3055
,Denmark,2020-06-03 10:33:08,11971.0,580.0,10750.0,56.2639,9.5018
,Finland,2020-06-03 10:33:08,6911.0,321.0,5500.0,61.9241,25.7482
,France,2020-06-03 10:33:08,188802.0,29024.0,69573.0,46.2276,2.2137
,Germany,2020-06-03 10:33:08,184427.0,8611.0,167749.0,51.165690999999995,10.451526
,Iceland,2020-06-03 10:33:08,1806.0,10.0,1794.0,64.9631,-19.0208
,Ireland,2020-06-03 10:33:08,25111.0,1659.0,22698.0,53.1424,-7.6921
,Italy,2020-06-03 10:33:08,233836.0,33601.0,160938.0,41.8719,12.5674
,Netherlands,2020-06-03 10:33:08,46939.0,5996.0,180.0,52.3167,5.55
,Norway,2020-06-03 10:33:08,8477.0,237.0,8138.0,60472,8.4689
,Russia,2020-06-03 10:33:08,440538.0,5376.0,204197.0,61.523999999999994,105.3188
,Sweden,2020-06-03 10:33:08,40803.0,4542.0,0.0,60.1282,18.6435
,Switzerland,2020-06-03 10:33:08,30913.0,1921.0,28600.0,46.8182,8.2275
,United Kingdom,2020-06-03 10:33:08,281270.0,39811.0,1212.0,55.0,-3.0
,US,2020-06-03 10:33:08,1851520.0,107175.0,479258.0,40.0,-100.0
,Spain,2020-06-03 10:33:08,240326.0,27128.0,150376.0,40.463667,-3.7492199999999998
,Mexico,2020-06-03 10:33:08,101238.0,11729.0,72680.0,23.6345,-102.5528
,Chile,2020-06-03 10:33:08,113628.0,1275.0,21605.0,-35.6751,-71543
,Brazil,2020-06-03 10:33:08,584016.0,32548.0,238617.0,-14235,-51.9253
,Peru,2020-06-03 10:33:08,178914.0,4894.0,72319.0,-9.19,-75.0152
,Colombia,2020-06-03 10:33:08,33466.0,1099.0,12319.0,4.5709,-74.2973
,Japan,2020-06-03 10:33:08,16907.0,907.0,14702.0,36.204824,138.252924
,Ukraine,2020-06-03 10:33:08,25981.0,755.0,11468.0,48.3794,31.1656
,Afghanistan,2020-06-03 10:33:08,17891.0,299.0,1541.0,33.93911,67.709953
,Albania,2020-06-03 10:33:08,1197.0,33.0,898.0,41.1533,20.1683
,Algeria,2020-06-03 10:33:08,9733.0,673.0,6218.0,28.0339,1.6596
,Andorra,2020-06-03 10:33:08,851.0,51.0,735.0,42.5063,1.5218
,Angola,2020-06-03 10:33:08,86.0,4.0,18.0,-11.2027,17.8739
,Antigua and Barbuda,2020-06-03 10:33:08,26.0,3.0,20.0,17.0608,-61.7964
