Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-07-13 21:34:39,9980.0,108.0,7769,-25.0,133.0
,Austria,2020-07-13 21:34:39,18948.0,708.0,17000,47.5162,14.5501
,Canada,2020-07-13 21:34:39,109754.0,8833.0,73236,60.001000000000005,-95001
,China,2020-07-13 21:34:39,85117.0,4641.0,79907,30.5928,114.3055
,Denmark,2020-07-13 21:34:39,13238.0,610.0,12331,56.2639,9.5018
,Finland,2020-07-13 21:34:39,7295.0,329.0,6800,61.9241,25.7482
,France,2020-07-13 21:34:39,209640.0,30032.0,78722,46.2276,2.2137
,Germany,2020-07-13 21:34:39,200180.0,9074.0,185100,51.165690999999995,10.451526
,Iceland,2020-07-13 21:34:39,1900.0,10.0,1871,64.9631,-19.0208
,Ireland,2020-07-13 21:34:39,25638.0,1746.0,23364,53.1424,-7.6921
,Italy,2020-07-13 21:34:39,243230.0,34967.0,195106,41.8719,12.5674
,Netherlands,2020-07-13 21:34:39,51308.0,6156.0,193,52.3167,5.55
,Norway,2020-07-13 21:34:39,8981.0,253.0,8138,60472,8.4689
,Russia,2020-07-13 21:34:39,732547.0,11422.0,503168,61.523999999999994,105.3188
,Sweden,2020-07-13 21:34:39,75826.0,5536.0,,60.1282,18.6435
,Switzerland,2020-07-13 21:34:39,32946.0,1968.0,29600,46.8182,8.2275
,United Kingdom,2020-07-13 21:34:39,291685.0,44915.0,1378,55.0,-3.0
,US,2020-07-13 21:34:39,3352696.0,135512.0,1006326,40.0,-100.0
,Spain,2020-07-13 21:34:39,255953.0,28406.0,150376,40.463667,-3.7492199999999998
,Mexico,2020-07-13 21:34:39,299750.0,35006.0,234905,23.6345,-102.5528
,Chile,2020-07-13 21:34:39,317657.0,7024.0,286556,-35.6751,-71543
,Brazil,2020-07-13 21:34:39,1864681.0,72100.0,1286490,-14235,-51.9253
,Peru,2020-07-13 21:34:39,330123.0,12054.0,221008,-9.19,-75.0152
,Colombia,2020-07-13 21:34:39,150445.0,5634.0,63451,4.5709,-74.2973
,Japan,2020-07-13 21:34:39,22098.0,984.0,18058,36.204824,138.252924
,Ukraine,2020-07-13 21:34:39,55285.0,1415.0,27356,48.3794,31.1656
,India,2020-07-13 21:34:39,878254.0,23174.0,553471,20.593684,78.96288
,Pakistan,2020-07-13 21:34:39,251625.0,5266.0,161917,30.3753,69.3451
,Afghanistan,2020-07-13 21:34:39,34455.0,1012.0,21254,33.93911,67.709953
,Albania,2020-07-13 21:34:39,3571.0,95.0,2014,41.1533,20.1683
,Algeria,2020-07-13 21:34:39,19689.0,1018.0,14019,28.0339,1.6596
,Andorra,2020-07-13 21:34:39,855.0,52.0,803,42.5063,1.5218
,Angola,2020-07-13 21:34:39,506.0,26.0,118,-11.2027,17.8739
,Antigua and Barbuda,2020-07-13 21:34:39,74.0,3.0,57,17.0608,-61.7964
,Argentina,2020-07-13 21:34:39,100166.0,1859.0,44173,-38.4161,-63.6167
,Armenia,2020-07-13 21:34:39,32151.0,573.0,19865,40.0691,45.0382
,Azerbaijan,2020-07-13 21:34:39,24570.0,313.0,15640,40.1431,47.5769
,Bahamas,2020-07-13 21:34:39,111.0,11.0,89,25.025885,-78.035889
,Bahrain,2020-07-13 21:34:39,33476.0,109.0,29099,26.0275,50.55
,Bangladesh,2020-07-13 21:34:39,186894.0,2391.0,98317,23685,90.3563
,Barbados,2020-07-13 21:34:39,103.0,7.0,90,13.1939,-59.5432
