Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-06-20 18:33:22,7461.0,102.0,6896,-25.0,133.0
,Austria,2020-06-20 18:33:22,17341.0,690.0,16197,47.5162,14.5501
,Canada,2020-06-20 18:33:22,103021.0,8482.0,65223,60.001000000000005,-95001
,China,2020-06-20 18:33:22,84556.0,4639.0,79534,30.5928,114.3055
,Denmark,2020-06-20 18:33:22,12591.0,600.0,11482,56.2639,9.5018
,Finland,2020-06-20 18:33:22,7143.0,326.0,6200,61.9241,25.7482
,France,2020-06-20 18:33:22,196724.0,29636.0,74436,46.2276,2.2137
,Germany,2020-06-20 18:33:22,191272.0,8895.0,174740,51.165690999999995,10.451526
,Iceland,2020-06-20 18:33:22,1823.0,10.0,1805,64.9631,-19.0208
,Ireland,2020-06-20 18:33:22,25379.0,1715.0,22698,53.1424,-7.6921
,Italy,2020-06-20 18:33:22,238499.0,34634.0,182893,41.8719,12.5674
,Netherlands,2020-06-20 18:33:22,49801.0,6109.0,186,52.3167,5.55
,Norway,2020-06-20 18:33:22,8743.0,244.0,8138,60472,8.4689
,Russia,2020-06-20 18:33:22,583879.0,8101.0,339142,61.523999999999994,105.3188
,Sweden,2020-06-20 18:33:22,56043.0,5053.0,,60.1282,18.6435
,Switzerland,2020-06-20 18:33:22,31292.0,1956.0,29000,46.8182,8.2275
,United Kingdom,2020-06-20 18:33:22,305803.0,42717.0,1319,55.0,-3.0
,US,2020-06-20 18:33:22,2268093.0,119854.0,617460,40.0,-100.0
,Spain,2020-06-20 18:33:22,246272.0,28323.0,150376,40.463667,-3.7492199999999998
,Mexico,2020-06-20 18:33:22,175202.0,20781.0,130854,23.6345,-102.5528
,Chile,2020-06-20 18:33:22,236748.0,4295.0,196609,-35.6751,-71543
,Brazil,2020-06-20 18:33:22,1032913.0,49976.0,576779,-14235,-51.9253
,Peru,2020-06-20 18:33:22,251338.0,7861.0,143017,-9.19,-75.0152
,Colombia,2020-06-20 18:33:22,65813.0,2235.0,25549,4.5709,-74.2973
,Japan,2020-06-20 18:33:22,17780.0,955.0,15948,36.204824,138.252924
,Ukraine,2020-06-20 18:33:22,37361.0,1012.0,17078,48.3794,31.1656
,India,2020-06-20 18:33:22,410451.0,13254.0,227728,20.593684,78.96288
,Pakistan,2020-06-20 18:33:22,176617.0,3501.0,67892,30.3753,69.3451
,Afghanistan,2020-06-20 18:33:22,28833.0,581.0,8764,33.93911,67.709953
,Albania,2020-06-20 18:33:22,1962.0,44.0,1134,41.1533,20.1683
,Algeria,2020-06-20 18:33:22,11771.0,845.0,8422,28.0339,1.6596
,Andorra,2020-06-20 18:33:22,855.0,52.0,792,42.5063,1.5218
,Angola,2020-06-20 18:33:22,176.0,9.0,66,-11.2027,17.8739
,Antigua and Barbuda,2020-06-20 18:33:22,26.0,3.0,22,17.0608,-61.7964
,Argentina,2020-06-20 18:33:22,41204.0,1000.0,12728,-38.4161,-63.6167
,Armenia,2020-06-20 18:33:22,20268.0,350.0,9002,40.0691,45.0382
,Azerbaijan,2020-06-20 18:33:22,12729.0,154.0,6799,40.1431,47.5769
,Bahamas,2020-06-20 18:33:22,104.0,11.0,74,25.025885,-78.035889
,Bahrain,2020-06-20 18:33:22,21331.0,61.0,15790,26.0275,50.55
,Bangladesh,2020-06-20 18:33:22,112306.0,1464.0,45077,23685,90.3563
,Barbados,2020-06-20 18:33:22,97.0,7.0,85,13.1939,-59.5432
,Belarus,2020-06-20 18:33:22,58505.0,346.0,37666,53.7098,27.9534
,Belgium,2020-06-20 18:33:22,60550.0,9696.0,16771,50.8333,4.469936
,Belize,2020-06-20 18:33:22,22.0,2.0,17,17.1899,-88.4976
,Benin,2020-06-20 18:33:22,765.0,13.0,253,9.3077,2.3158
,Bhutan,2020-06-20 18:33:22,68.0,0.0,30,27.5142,90.4336
,Bolivia,2020-06-20 18:33:22,23512.0,740.0,5086,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-06-20 18:33:22,3273.0,169.0,2241,43.9159,17.6791
,Botswana,2020-06-20 18:33:22,89.0,1.0,25,-22.3285,24.6849
,Brunei,2020-06-20 18:33:22,141.0,3.0,138,4.5353,114.7277
,Bulgaria,2020-06-20 18:33:22,3872.0,199.0,2027,42.7339,25.4858
,Burkina Faso,2020-06-20 18:33:22,901.0,53.0,814,12.2383,-1.5616
,Burma,2020-06-20 18:33:22,290.0,6.0,200,21.9162,95956
,Burundi,2020-06-20 18:33:22,144.0,1.0,93,-3.3731,29.9189
,Cabo Verde,2020-06-20 18:33:22,890.0,8.0,377,16.5388,-23.0418
,Cambodia,2020-06-20 18:33:22,129.0,0.0,127,11.55,104.9167
,Cameroon,2020-06-20 18:33:22,11610.0,301.0,7702,3.8480000000000003,11.5021
,Central African Republic,2020-06-20 18:33:22,2808.0,23.0,472,6.6111,20.9394
,Chad,2020-06-20 18:33:22,858.0,74.0,752,15.4542,18.7322
,Comoros,2020-06-20 18:33:22,247.0,5.0,159,-11.6455,43.3333
,Congo (Brazzaville),2020-06-20 18:33:22,883.0,27.0,391,-228,15.8277
,Congo (Kinshasa),2020-06-20 18:33:22,5826.0,130.0,841,-4.0383,21.7587
,Costa Rica,2020-06-20 18:33:22,2127.0,12.0,1014,9.7489,-83.7534
,Cote d'Ivoire,2020-06-20 18:33:22,7276.0,52.0,2992,7.54,-5.5471
,Croatia,2020-06-20 18:33:22,2317.0,107.0,2142,45.1,15.2
,Cuba,2020-06-20 18:33:22,2312.0,85.0,2103,21.521757,-77.78116700000002
,Cyprus,2020-06-20 18:33:22,986.0,19.0,824,35.1264,33.4299
,Czechia,2020-06-20 18:33:22,10463.0,337.0,7498,49.8175,15.472999999999999
,Diamond Princess,2020-06-20 18:33:22,712.0,13.0,651,,
,Djibouti,2020-06-20 18:33:22,4582.0,45.0,3859,11.8251,42.5903
,Dominica,2020-06-20 18:33:22,18.0,0.0,18,15415,-61371
,Dominican Republic,2020-06-20 18:33:22,26677.0,662.0,15138,18.7357,-70.1627
,Ecuador,2020-06-20 18:33:22,50640.0,4223.0,24991,-1.8312,-78.1834
,Egypt,2020-06-20 18:33:22,53758.0,2106.0,14327,26.820553000000004,30.802497999999996
,El Salvador,2020-06-20 18:33:22,4626.0,98.0,2535,13.7942,-88.8965
,Equatorial Guinea,2020-06-20 18:33:22,1664.0,32.0,515,1.6508,10.2679
,Eritrea,2020-06-20 18:33:22,143.0,0.0,39,15.1794,39.7823
,Estonia,2020-06-20 18:33:22,1981.0,69.0,1764,58.5953,25.0136
,Eswatini,2020-06-20 18:33:22,627.0,5.0,285,-26.5225,31.4659
,Ethiopia,2020-06-20 18:33:22,4532.0,74.0,1213,9145,40.4897
,Fiji,2020-06-20 18:33:22,18.0,0.0,18,-17.7134,178065
,Gabon,2020-06-20 18:33:22,4428.0,34.0,1750,-0.8037,11.6094
,Gambia,2020-06-20 18:33:22,37.0,2.0,24,13.4432,-15.3101
,Georgia,2020-06-20 18:33:22,906.0,14.0,755,42.3154,43.3569
,Ghana,2020-06-20 18:33:22,14007.0,85.0,10473,7.9465,-1.0232
,Greece,2020-06-20 18:33:22,3266.0,190.0,1374,39.0742,21.8243
,Grenada,2020-06-20 18:33:22,23.0,0.0,23,12.1165,-61.678999999999995
,Guatemala,2020-06-20 18:33:22,12755.0,514.0,2558,15.7835,-90.2308
,Guinea,2020-06-20 18:33:22,4960.0,27.0,3630,9.9456,-9.6966
,Guinea-Bissau,2020-06-20 18:33:22,1541.0,17.0,153,11.8037,-15.1804
,Guyana,2020-06-20 18:33:22,183.0,12.0,102,4.860416000000002,-58.93018000000001
,Haiti,2020-06-20 18:33:22,5077.0,88.0,24,18.9712,-72.2852
,Holy See,2020-06-20 18:33:22,12.0,0.0,12,41.9029,12.4534
,Honduras,2020-06-20 18:33:22,12306.0,358.0,1275,15.2,-86.2419
,Hungary,2020-06-20 18:33:22,4094.0,570.0,2589,47.1625,19.5033
,Indonesia,2020-06-20 18:33:22,45891.0,2465.0,18404,-0.7893,113.9213
,Iran,2020-06-20 18:33:22,204952.0,9623.0,163591,32.427908,53.68804599999999
,Iraq,2020-06-20 18:33:22,30868.0,1100.0,13935,33.223191,43.679291
,Israel,2020-06-20 18:33:22,20741.0,306.0,15689,31.046051000000002,34.851612
,Jamaica,2020-06-20 18:33:22,657.0,10.0,462,18.1096,-77.2975
,Jordan,2020-06-20 18:33:22,1033.0,9.0,739,31.24,36.51
,Kazakhstan,2020-06-20 18:33:22,17225.0,120.0,10897,48.0196,66.9237
,Kenya,2020-06-20 18:33:22,4738.0,123.0,1607,-0.0236,37.9062
,"Korea, South",2020-06-20 18:33:22,12421.0,280.0,10868,35.90775700000001,127.766922
,Kosovo,2020-06-20 18:33:22,1486.0,33.0,953,42.602636,20.902977
,Kuwait,2020-06-20 18:33:22,39650.0,326.0,31240,29.311659999999996,47.481766
,Kyrgyzstan,2020-06-20 18:33:22,3151.0,37.0,2011,41.20438,74.766098
,Laos,2020-06-20 18:33:22,19.0,0.0,19,19.856270000000002,102.495496
,Latvia,2020-06-20 18:33:22,1111.0,30.0,903,56.8796,24.6032
,Lebanon,2020-06-20 18:33:22,1587.0,32.0,1068,33.8547,35.8623
,Lesotho,2020-06-20 18:33:22,4.0,0.0,2,-29.609988,28.233608
,Liberia,2020-06-20 18:33:22,626.0,34.0,254,6.4280550000000005,-9.429499
,Libya,2020-06-20 18:33:22,544.0,10.0,98,26.3351,17.228331
,Liechtenstein,2020-06-20 18:33:22,82.0,1.0,55,47.14,9.55
,Lithuania,2020-06-20 18:33:22,1798.0,76.0,1475,55.1694,23.8813
,Luxembourg,2020-06-20 18:33:22,4120.0,110.0,3956,49.8153,6.1296
,MS Zaandam,2020-06-20 18:33:22,9.0,2.0,,,
,Madagascar,2020-06-20 18:33:22,1596.0,14.0,655,-18.766947000000002,46.869107
,Malawi,2020-06-20 18:33:22,730.0,11.0,91,-13.254307999999998,34.301525
,Malaysia,2020-06-20 18:33:22,8572.0,121.0,8156,4.210483999999999,101.97576600000001
,Maldives,2020-06-20 18:33:22,2203.0,8.0,1803,3.2028,73.2207
,Mali,2020-06-20 18:33:22,1933.0,109.0,1255,17.570692,-3.996166000000001
,Malta,2020-06-20 18:33:22,665.0,9.0,616,35.9375,14.3754
,Mauritania,2020-06-20 18:33:22,2813.0,108.0,696,21.0079,-10.9408
,Mauritius,2020-06-20 18:33:22,337.0,10.0,326,-20.348404000000002,57.552152
,Moldova,2020-06-20 18:33:22,14200.0,473.0,7896,47.4116,28.3699
,Monaco,2020-06-20 18:33:22,99.0,4.0,94,43.7333,7.4167
,Mongolia,2020-06-20 18:33:22,206.0,0.0,139,46.8625,103.8467
,Montenegro,2020-06-20 18:33:22,362.0,9.0,315,42.708678000000006,19.37439
,Morocco,2020-06-20 18:33:22,9977.0,214.0,8284,31.7917,-7.0926
,Mozambique,2020-06-20 18:33:22,733.0,5.0,181,-18.665695,35.529562
,Namibia,2020-06-20 18:33:22,55.0,0.0,19,-22.9576,18.4904
,Nepal,2020-06-20 18:33:22,9026.0,23.0,1772,28.1667,84.25
,New Zealand,2020-06-20 18:33:22,1511.0,22.0,1482,-40.9006,174886
,Nicaragua,2020-06-20 18:33:22,1823.0,64.0,1238,12.865416,-85.207229
,Niger,2020-06-20 18:33:22,1035.0,67.0,911,17.607789,8.081666
,Nigeria,2020-06-20 18:33:22,19808.0,506.0,6718,9082,8.6753
,North Macedonia,2020-06-20 18:33:22,5106.0,238.0,1926,41.6086,21.7453
,Oman,2020-06-20 18:33:22,29471.0,131.0,15552,21.512583,55.92325500000001
,Panama,2020-06-20 18:33:22,25222.0,493.0,14359,8538,-80.7821
,Papua New Guinea,2020-06-20 18:33:22,8.0,0.0,8,-6.314993,143.95555
,Paraguay,2020-06-20 18:33:22,1379.0,13.0,871,-23.4425,-58.4438
,Philippines,2020-06-20 18:33:22,30052.0,1169.0,7893,12.879721,121.77401699999999
,Poland,2020-06-20 18:33:22,31931.0,1356.0,16683,51.9194,19.1451
,Portugal,2020-06-20 18:33:22,39133.0,1530.0,25376,39.3999,-8.2245
,Qatar,2020-06-20 18:33:22,87369.0,98.0,68319,25.3548,51.1839
,Romania,2020-06-20 18:33:22,24045.0,1512.0,16911,45.9432,24.9668
,Rwanda,2020-06-20 18:33:22,702.0,2.0,357,-1.9403,29.8739
,Saint Kitts and Nevis,2020-06-20 18:33:22,15.0,0.0,15,17.357822,-62.782998
,Saint Lucia,2020-06-20 18:33:22,19.0,0.0,18,13.9094,-60.9789
,Saint Vincent and the Grenadines,2020-06-20 18:33:22,29.0,0.0,26,12.9843,-61.2872
,San Marino,2020-06-20 18:33:22,696.0,42.0,610,43.9424,12.4578
,Sao Tome and Principe,2020-06-20 18:33:22,698.0,12.0,203,0.18636,6.613081
,Saudi Arabia,2020-06-20 18:33:22,157612.0,1267.0,101130,23.885942,45.079162
,Senegal,2020-06-20 18:33:22,5888.0,84.0,3919,14.4974,-14.4524
,Serbia,2020-06-20 18:33:22,12894.0,261.0,11947,44.0165,21.0059
,Seychelles,2020-06-20 18:33:22,11.0,0.0,11,-4.6796,55492
,Sierra Leone,2020-06-20 18:33:22,1327.0,55.0,788,8.460555000000001,-11.779889
,Singapore,2020-06-20 18:33:22,42095.0,26.0,34942,1.2833,103.8333
,Slovakia,2020-06-20 18:33:22,1587.0,28.0,1447,48669,19699
,Slovenia,2020-06-20 18:33:22,1520.0,109.0,1376,46.1512,14.9955
,Somalia,2020-06-20 18:33:22,2779.0,90.0,782,5.152149,46.199616
,South Africa,2020-06-20 18:33:22,92681.0,1877.0,50326,-30.5595,22.9375
,South Sudan,2020-06-20 18:33:22,1892.0,34.0,169,6.8770000000000024,31307
,Sri Lanka,2020-06-20 18:33:22,1950.0,11.0,1498,7.873054,80.77179699999998
,Sudan,2020-06-20 18:33:22,8580.0,521.0,3325,12.8628,30.2176
,Suriname,2020-06-20 18:33:22,302.0,8.0,74,3.9193,-56.0278
,Syria,2020-06-20 18:33:22,204.0,7.0,83,34.802075,38.99681500000001
,Taiwan*,2020-06-20 18:33:22,446.0,7.0,434,23.7,121.0
,Tajikistan,2020-06-20 18:33:22,5457.0,52.0,3995,38.861034000000004,71.276093
,Tanzania,2020-06-20 18:33:22,509.0,21.0,183,-6.369028,34.888822
,Thailand,2020-06-20 18:33:22,3148.0,58.0,3018,15.870032,100.992541
,Timor-Leste,2020-06-20 18:33:22,24.0,0.0,24,-8.874217,125.727539
,Togo,2020-06-20 18:33:22,561.0,13.0,366,8.6195,0.8248
,Trinidad and Tobago,2020-06-20 18:33:22,123.0,8.0,109,10.6918,-61.2225
,Tunisia,2020-06-20 18:33:22,1157.0,50.0,1020,33.886917,9.537499
,Turkey,2020-06-20 18:33:22,187685.0,4950.0,160240,38.9637,35.2433
,Uganda,2020-06-20 18:33:22,770.0,0.0,578,1.373333,32.290275
,United Arab Emirates,2020-06-20 18:33:22,44925.0,302.0,32415,23.424076,53.847818000000004
,Uruguay,2020-06-20 18:33:22,859.0,25.0,815,-32.5228,-55.7658
,Uzbekistan,2020-06-20 18:33:22,6272.0,19.0,4290,41.377491,64.585262
,Venezuela,2020-06-20 18:33:22,3789.0,33.0,835,6.4238,-66.5897
