Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-08-04 18:34:52,18730.0,232.0,10795,-25.0,133.0
,Austria,2020-08-04 18:34:52,21481.0,719.0,19336,47.5162,14.5501
,Canada,2020-08-04 18:34:52,119170.0,8998.0,103426,60.001000000000005,-95001
,China,2020-08-04 18:34:52,88179.0,4675.0,81217,30.5928,114.3055
,Denmark,2020-08-04 18:34:52,14314.0,616.0,12920,56.2639,9.5018
,Finland,2020-08-04 18:34:52,7483.0,331.0,6950,61.9241,25.7482
,France,2020-08-04 18:34:52,228574.0,30297.0,81764,46.2276,2.2137
,Germany,2020-08-04 18:34:52,212669.0,9163.0,194173,51.165690999999995,10.451526
,Iceland,2020-08-04 18:34:52,1918.0,10.0,1825,64.9631,-19.0208
,Ireland,2020-08-04 18:34:52,26253.0,1763.0,23364,53.1424,-7.6921
,Italy,2020-08-04 18:34:52,248419.0,35171.0,200766,41.8719,12.5674
,Netherlands,2020-08-04 18:34:52,56271.0,6170.0,207,52.3167,5.55
,Norway,2020-08-04 18:34:52,9348.0,256.0,8752,60472,8.4689
,Russia,2020-08-04 18:34:52,859762.0,14327.0,660235,61.523999999999994,105.3188
,Sweden,2020-08-04 18:34:52,81181.0,5747.0,,60.1282,18.6435
,Switzerland,2020-08-04 18:34:52,35746.0,1981.0,31500,46.8182,8.2275
,United Kingdom,2020-08-04 18:34:52,307256.0,46295.0,1445,55.0,-3.0
,US,2020-08-04 18:34:52,4742277.0,156133.0,1513446,40.0,-100.0
,Spain,2020-08-04 18:34:52,302814.0,28498.0,150376,40.463667,-3.7492199999999998
,Mexico,2020-08-04 18:34:52,443813.0,48012.0,353442,23.6345,-102.5528
,Chile,2020-08-04 18:34:52,362962.0,9745.0,336330,-35.6751,-71543
,Brazil,2020-08-04 18:34:52,2750318.0,94665.0,2098976,-14235,-51.9253
,Peru,2020-08-04 18:34:52,433100.0,19811.0,298091,-9.19,-75.0152
,Colombia,2020-08-04 18:34:52,327850.0,11017.0,173727,4.5709,-74.2973
,Japan,2020-08-04 18:34:52,41311.0,1023.0,27187,36.204824,138.252924
,Ukraine,2020-08-04 18:34:52,75880.0,1788.0,41849,48.3794,31.1656
,India,2020-08-04 18:34:52,1855745.0,38938.0,1230509,20.593684,78.96288
,Pakistan,2020-08-04 18:34:52,280461.0,5999.0,249397,30.3753,69.3451
,Afghanistan,2020-08-04 18:34:52,36747.0,1288.0,25669,33.93911,67.709953
,Albania,2020-08-04 18:34:52,5750.0,176.0,3031,41.1533,20.1683
,Algeria,2020-08-04 18:34:52,32504.0,1248.0,22375,28.0339,1.6596
,Andorra,2020-08-04 18:34:52,939.0,52.0,825,42.5063,1.5218
,Angola,2020-08-04 18:34:52,1280.0,58.0,476,-11.2027,17.8739
,Antigua and Barbuda,2020-08-04 18:34:52,92.0,3.0,75,17.0608,-61.7964
,Argentina,2020-08-04 18:34:52,206743.0,3863.0,94129,-38.4161,-63.6167
,Armenia,2020-08-04 18:34:52,39298.0,768.0,30372,40.0691,45.0382
,Azerbaijan,2020-08-04 18:34:52,32910.0,473.0,28348,40.1431,47.5769
,Bahamas,2020-08-04 18:34:52,679.0,14.0,91,25.025885,-78.035889
,Bahrain,2020-08-04 18:34:52,41835.0,150.0,39007,26.0275,50.55
,Bangladesh,2020-08-04 18:34:52,244020.0,3234.0,139860,23685,90.3563
,Barbados,2020-08-04 18:34:52,132.0,7.0,98,13.1939,-59.5432
,Belarus,2020-08-04 18:34:52,68250.0,574.0,63163,53.7098,27.9534
,Belgium,2020-08-04 18:34:52,70314.0,9850.0,17598,50.8333,4.469936
,Belize,2020-08-04 18:34:52,57.0,2.0,30,17.1899,-88.4976
,Benin,2020-08-04 18:34:52,1805.0,36.0,1036,9.3077,2.3158
,Bhutan,2020-08-04 18:34:52,103.0,0.0,90,27.5142,90.4336
,Bolivia,2020-08-04 18:34:52,81846.0,3228.0,24510,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-08-04 18:34:52,12856.0,373.0,6592,43.9159,17.6791
,Botswana,2020-08-04 18:34:52,804.0,2.0,63,-22.3285,24.6849
,Brunei,2020-08-04 18:34:52,141.0,3.0,138,4.5353,114.7277
,Bulgaria,2020-08-04 18:34:52,12159.0,404.0,6684,42.7339,25.4858
,Burkina Faso,2020-08-04 18:34:52,1153.0,53.0,947,12.2383,-1.5616
,Burma,2020-08-04 18:34:52,355.0,6.0,302,21.9162,95956
,Burundi,2020-08-04 18:34:52,395.0,1.0,304,-3.3731,29.9189
,Cabo Verde,2020-08-04 18:34:52,2583.0,25.0,1911,16.5388,-23.0418
,Cambodia,2020-08-04 18:34:52,240.0,0.0,197,11.55,104.9167
,Cameroon,2020-08-04 18:34:52,17255.0,391.0,15320,3848,11.5021
,Central African Republic,2020-08-04 18:34:52,4614.0,59.0,1635,6.6111,20.9394
,Chad,2020-08-04 18:34:52,938.0,75.0,814,15.4542,18.7322
,Comoros,2020-08-04 18:34:52,386.0,7.0,330,-11.6455,43.3333
,Congo (Brazzaville),2020-08-04 18:34:52,3546.0,58.0,1589,-228,15.8277
,Congo (Kinshasa),2020-08-04 18:34:52,9178.0,215.0,7727,-4.0383,21.7587
,Costa Rica,2020-08-04 18:34:52,19402.0,171.0,4689,9.7489,-83.7534
,Cote d'Ivoire,2020-08-04 18:34:52,16220.0,102.0,11887,7.54,-5.5471
,Croatia,2020-08-04 18:34:52,5318.0,154.0,4517,45.1,15.2
