Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-04-01 07:02:01,5108,24,520,-25.0,133.0
,Austria,2020-04-01 07:02:01,10769,146,1436,47.5162,14.5501
,Canada,2020-04-01 07:02:01,9731,112,1526,60.001000000000005,-95001
,China,2020-04-01 07:02:01,82394,3316,76426,30.5928,114.3055
,Denmark,2020-04-01 07:02:01,3294,104,977,56.0,10.0
,Finland,2020-04-01 07:02:01,1446,17,300,61.9241,25.7482
,France,2020-04-01 07:02:01,57763,4043,11055,46.2276,2.2137
,Germany,2020-04-01 07:02:01,77981,931,18700,51.1657,10.4515
,Iceland,2020-04-01 07:02:01,1220,2,236,64.9631,-19.0208
,Ireland,2020-04-01 07:02:01,3447,85,5,53.1424,-7.6921
,Italy,2020-04-01 07:02:01,110574,13155,16847,41.8719,12.5674
,Netherlands,2020-04-01 07:02:01,13696,1175,260,52.3167,5.55
,Norway,2020-04-01 07:02:01,4877,44,13,60472,8.4689
,Russia,2020-04-01 07:02:01,2777,24,190,61.523999999999994,105.3188
,Sweden,2020-04-01 07:02:01,4947,239,103,60.1282,18.6435
,Switzerland,2020-04-01 07:02:01,17768,488,2967,46.8182,8.2275
,United Kingdom,2020-04-01 07:02:01,29865,2357,179,55.0,-3.0
,US,2020-04-01 07:02:01,216722,5137,8672,40.0,-100.0
,Afghanistan,2020-04-01 07:02:01,239,4,5,33.93911,67.709953
,Albania,2020-04-01 07:02:01,259,15,67,41.1533,20.1683
,Algeria,2020-04-01 07:02:01,847,58,61,28.0339,1.6596
,Andorra,2020-04-01 07:02:01,390,14,10,42.5063,1.5218
,Angola,2020-04-01 07:02:01,8,2,1,-11.2027,17.8739
,Antigua and Barbuda,2020-04-01 07:02:01,7,0,0,17.0608,-61.7964
,Argentina,2020-04-01 07:02:01,1133,33,248,-38.4161,-63.6167
,Armenia,2020-04-01 07:02:01,571,4,31,40.0691,45.0382
,Azerbaijan,2020-04-01 07:02:01,359,5,26,40.1431,47.5769
,Bahamas,2020-04-01 07:02:01,21,1,1,25.025885,-78.035889
,Bahrain,2020-04-01 07:02:01,569,4,337,26.0275,50.55
,Bangladesh,2020-04-01 07:02:01,56,6,25,23685,90.3563
,Barbados,2020-04-01 07:02:01,45,0,0,13.1939,-59.5432
,Belarus,2020-04-01 07:02:01,163,2,53,53.7098,27.9534
,Belgium,2020-04-01 07:02:01,13964,828,2132,50.8333,4.469936
,Belize,2020-04-01 07:02:01,3,0,0,17.1899,-88.4976
,Benin,2020-04-01 07:02:01,13,0,1,9.3077,2.3158
