Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-04-15 07:13:45,6462,63,2355,-25.0,133.0
,Austria,2020-04-15 07:13:45,14370,393,8098,47.5162,14.5501
,Canada,2020-04-15 07:13:45,28253,1010,8979,60.001000000000005,-95001
,China,2020-04-15 07:13:45,83402,3346,78374,30.5928,114.3055
,Denmark,2020-04-15 07:13:45,6876,309,2928,56.0,10.0
,Finland,2020-04-15 07:13:45,3237,72,300,61.9241,25.7482
,France,2020-04-15 07:13:45,134582,17188,31470,46.2276,2.2137
,Germany,2020-04-15 07:13:45,134753,3804,77000,51.1657,10.4515
,Iceland,2020-04-15 07:13:45,1727,8,1077,64.9631,-19.0208
,Ireland,2020-04-15 07:13:45,12547,444,77,53.1424,-7.6921
,Italy,2020-04-15 07:13:45,165155,21645,38092,41.8719,12.5674
,Netherlands,2020-04-15 07:13:45,28316,3145,304,52.3167,5.55
,Norway,2020-04-15 07:13:45,6798,150,32,60472,8.4689
,Russia,2020-04-15 07:13:45,24490,198,1986,61.523999999999994,105.3188
,Sweden,2020-04-15 07:13:45,11927,1203,381,60.1282,18.6435
,Switzerland,2020-04-15 07:13:45,26336,1239,15400,46.8182,8.2275
,United Kingdom,2020-04-15 07:13:45,99489,12894,368,55.0,-3.0
,US,2020-04-15 07:13:45,639664,30985,52738,40.0,-100.0
,Afghanistan,2020-04-15 07:13:45,784,25,43,33.93911,67.709953
,Albania,2020-04-15 07:13:45,494,25,251,41.1533,20.1683
,Algeria,2020-04-15 07:13:45,2160,336,708,28.0339,1.6596
,Andorra,2020-04-15 07:13:45,673,33,169,42.5063,1.5218
,Angola,2020-04-15 07:13:45,19,2,5,-11.2027,17.8739
,Antigua and Barbuda,2020-04-15 07:13:45,23,3,3,17.0608,-61.7964
,Argentina,2020-04-15 07:13:45,2571,112,596,-38.4161,-63.6167
,Armenia,2020-04-15 07:13:45,1111,17,297,40.0691,45.0382
,Azerbaijan,2020-04-15 07:13:45,1253,13,404,40.1431,47.5769
,Bahamas,2020-04-15 07:13:45,53,8,6,25.025885,-78.035889
,Bahrain,2020-04-15 07:13:45,1671,7,663,26.0275,50.55
,Bangladesh,2020-04-15 07:13:45,1231,50,49,23685,90.3563
,Barbados,2020-04-15 07:13:45,75,5,15,13.1939,-59.5432
,Belarus,2020-04-15 07:13:45,3728,36,203,53.7098,27.9534
,Belgium,2020-04-15 07:13:45,33573,4440,7107,50.8333,4.469936
,Belize,2020-04-15 07:13:45,18,2,0,17.1899,-88.4976
,Benin,2020-04-15 07:13:45,35,1,18,9.3077,2.3158
,Bhutan,2020-04-15 07:13:45,5,0,2,27.5142,90.4336
,Bolivia,2020-04-15 07:13:45,441,29,14,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-04-15 07:13:45,1110,41,253,43.9159,17.6791
,Botswana,2020-04-15 07:13:45,13,1,0,-22.3285,24.6849
,Brazil,2020-04-15 07:13:45,28912,1760,14026,-14235,-51.9253
,Brunei,2020-04-15 07:13:45,136,1,108,4.5353,114.7277
,Bulgaria,2020-04-15 07:13:45,783,37,122,42.7339,25.4858
,Burkina Faso,2020-04-15 07:13:45,542,32,226,12.2383,-1.5616
,Burma,2020-04-15 07:13:45,85,4,2,21.9162,95956
,Burundi,2020-04-15 07:13:45,5,1,0,-3.3731,29.9189
,Cabo Verde,2020-04-15 07:13:45,56,1,1,16.5388,-23.0418
,Cambodia,2020-04-15 07:13:45,122,0,98,11.55,104.9167
,Cameroon,2020-04-15 07:13:45,848,17,165,3848,11.5021
,Central African Republic,2020-04-15 07:13:45,12,0,4,6.6111,20.9394
,Chad,2020-04-15 07:13:45,23,0,2,15.4542,18.7322
,Chile,2020-04-15 07:13:45,8273,94,2937,-35.6751,-71543
,Colombia,2020-04-15 07:13:45,3105,131,452,4.5709,-74.2973
,Congo (Brazzaville),2020-04-15 07:13:45,117,5,11,-4.2634,15.2832
,Congo (Kinshasa),2020-04-15 07:13:45,254,21,21,-4.322447,15.307045
,Costa Rica,2020-04-15 07:13:45,626,4,67,9.7489,-83.7534
,Cote d'Ivoire,2020-04-15 07:13:45,654,6,146,7.54,-5.5471
,Croatia,2020-04-15 07:13:45,1741,33,473,45.1,15.2
,Cuba,2020-04-15 07:13:45,814,24,151,21.521757,-77.78116700000002
,Cyprus,2020-04-15 07:13:45,715,12,65,35.1264,33.4299
,Czechia,2020-04-15 07:13:45,6301,166,819,49.8175,15473
,Diamond Princess,2020-04-15 07:13:45,712,12,644,,
,Djibouti,2020-04-15 07:13:45,435,2,71,11.8251,42.5903
,Dominica,2020-04-15 07:13:45,16,0,8,15415,-61371
,Dominican Republic,2020-04-15 07:13:45,3614,189,208,18.7357,-70.1627
,Ecuador,2020-04-15 07:13:45,7858,388,780,-1.8312,-78.1834
,Egypt,2020-04-15 07:13:45,2505,183,589,26.820553000000004,30.802498
,El Salvador,2020-04-15 07:13:45,164,6,33,13.7942,-88.8965
,Equatorial Guinea,2020-04-15 07:13:45,51,0,4,1.6508,10.2679
,Eritrea,2020-04-15 07:13:45,35,0,0,15.1794,39.7823
,Estonia,2020-04-15 07:13:45,1400,35,117,58.5953,25.0136
,Eswatini,2020-04-15 07:13:45,16,0,8,-26.5225,31.4659
,Ethiopia,2020-04-15 07:13:45,85,3,15,9145,40.4897
,Fiji,2020-04-15 07:13:45,17,0,0,-17.7134,178065
,Gabon,2020-04-15 07:13:45,80,1,4,-0.8037,11.6094
,Gambia,2020-04-15 07:13:45,9,1,2,13.4432,-15.3101
,Georgia,2020-04-15 07:13:45,336,3,74,42.3154,43.3569
,Ghana,2020-04-15 07:13:45,641,8,83,7.9465,-1.0232
,Greece,2020-04-15 07:13:45,2192,102,269,39.0742,21.8243
,Grenada,2020-04-15 07:13:45,14,0,0,12.1165,-61679
,Guatemala,2020-04-15 07:13:45,196,5,19,15.7835,-90.2308
,Guinea,2020-04-15 07:13:45,404,1,31,9.9456,-9.6966
,Guinea-Bissau,2020-04-15 07:13:45,43,0,0,11.8037,-15.1804
,Guyana,2020-04-15 07:13:45,55,6,8,4.860416000000002,-58.93018000000001
,Haiti,2020-04-15 07:13:45,41,3,0,18.9712,-72.2852
,Holy See,2020-04-15 07:13:45,8,0,2,41.9029,12.4534
,Honduras,2020-04-15 07:13:45,426,35,9,15.2,-86.2419
,Hungary,2020-04-15 07:13:45,1652,142,199,47.1625,19.5033
,India,2020-04-15 07:13:45,12456,423,1513,20.593684,78.96288
,Indonesia,2020-04-15 07:13:45,5136,469,446,-0.7893,113.9213
,Iran,2020-04-15 07:13:45,76389,4777,49933,32.427908,53.68804599999999
,Iraq,2020-04-15 07:13:45,1415,79,812,33.223191,43.679291
,Israel,2020-04-15 07:13:45,12591,140,2624,31.046051,34.851612
,Jamaica,2020-04-15 07:13:45,125,5,21,18.1096,-77.2975
,Japan,2020-04-15 07:13:45,8626,178,901,36.204824,138.252924
,Jordan,2020-04-15 07:13:45,401,7,250,31.24,36.51
,Kazakhstan,2020-04-15 07:13:45,1341,16,240,48.0196,66.9237
,Kenya,2020-04-15 07:13:45,225,10,53,-0.0236,37.9062
,"Korea, South",2020-04-15 07:13:45,10613,229,7757,35.90775700000001,127.766922
,Kosovo,2020-04-15 07:13:45,387,8,66,42.602636,20.902977
,Kuwait,2020-04-15 07:13:45,1405,3,206,29.31166,47.481766
,Kyrgyzstan,2020-04-15 07:13:45,466,5,91,41.20438,74.766098
,Laos,2020-04-15 07:13:45,19,0,1,19.85627,102.495496
,Latvia,2020-04-15 07:13:45,666,5,44,56.8796,24.6032
,Lebanon,2020-04-15 07:13:45,658,21,85,33.8547,35.8623
,Liberia,2020-04-15 07:13:45,59,6,4,6.4280550000000005,-9.429499
,Libya,2020-04-15 07:13:45,48,1,11,26.3351,17.228331
,Liechtenstein,2020-04-15 07:13:45,79,1,55,47.14,9.55
,Lithuania,2020-04-15 07:13:45,1128,30,178,55.1694,23.8813
,Luxembourg,2020-04-15 07:13:45,3373,69,526,49.8153,6.1296
,MS Zaandam,2020-04-15 07:13:45,9,2,0,,
,Madagascar,2020-04-15 07:13:45,110,0,29,-18.766947,46.869107
,Malawi,2020-04-15 07:13:45,16,2,0,-13.254307999999998,34.301525
,Malaysia,2020-04-15 07:13:45,5072,83,2647,4.210483999999999,101.975766
,Maldives,2020-04-15 07:13:45,23,0,16,3.2028,73.2207
,Mali,2020-04-15 07:13:45,148,13,34,17.570692,-3.996166000000001
,Malta,2020-04-15 07:13:45,399,3,82,35.9375,14.3754
,Mauritania,2020-04-15 07:13:45,7,1,2,21.0079,-10.9408
,Mauritius,2020-04-15 07:13:45,324,9,65,-20.348404,57.552152
,Mexico,2020-04-15 07:13:45,5847,449,2125,23.6345,-102.5528
,Moldova,2020-04-15 07:13:45,2049,46,171,47.4116,28.3699
,Monaco,2020-04-15 07:13:45,93,3,12,43.7333,7.4167
,Mongolia,2020-04-15 07:13:45,31,0,5,46.8625,103.8467
,Montenegro,2020-04-15 07:13:45,290,4,55,42.708678000000006,19.37439
,Morocco,2020-04-15 07:13:45,2024,127,229,31.7917,-7.0926
,Mozambique,2020-04-15 07:13:45,29,0,2,-18.665695,35.529562
,Namibia,2020-04-15 07:13:45,16,0,3,-22.9576,18.4904
,Nepal,2020-04-15 07:13:45,16,0,1,28.1667,84.25
,New Zealand,2020-04-15 07:13:45,1401,9,770,-40.9006,174886
,Nicaragua,2020-04-15 07:13:45,9,1,4,12.865416,-85.207229
,Niger,2020-04-15 07:13:45,584,14,90,17.607789,8.081666
,Nigeria,2020-04-15 07:13:45,407,12,128,9082,8.6753
,North Macedonia,2020-04-15 07:13:45,974,45,98,41.6086,21.7453
,Oman,2020-04-15 07:13:45,1019,4,176,21.512583,55.92325500000001
,Pakistan,2020-04-15 07:13:45,6505,124,1645,30.3753,69.3451
,Panama,2020-04-15 07:13:45,3751,103,75,8538,-80.7821
,Papua New Guinea,2020-04-15 07:13:45,2,0,0,-6.314993,143.95555
,Paraguay,2020-04-15 07:13:45,174,8,30,-23.4425,-58.4438
,Peru,2020-04-15 07:13:45,11475,254,3108,-9.19,-75.0152
,Philippines,2020-04-15 07:13:45,5453,349,353,12.879721,121.774017
,Poland,2020-04-15 07:13:45,7582,286,774,51.9194,19.1451
,Portugal,2020-04-15 07:13:45,18091,599,383,39.3999,-8.2245
,Qatar,2020-04-15 07:13:45,3711,7,406,25.3548,51.1839
,Romania,2020-04-15 07:13:45,7216,372,1217,45.9432,24.9668
,Rwanda,2020-04-15 07:13:45,136,0,54,-1.9403,29.8739
,Saint Kitts and Nevis,2020-04-15 07:13:45,14,0,0,17.357822,-62.782998
,Saint Lucia,2020-04-15 07:13:45,15,0,11,13.9094,-60.9789
,Saint Vincent and the Grenadines,2020-04-15 07:13:45,12,0,1,12.9843,-61.2872
,San Marino,2020-04-15 07:13:45,393,36,53,43.9424,12.4578
,Sao Tome and Principe,2020-04-15 07:13:45,4,0,0,0.18636,6.613081
,Saudi Arabia,2020-04-15 07:13:45,5862,79,931,23.885942,45.079162
,Senegal,2020-04-15 07:13:45,314,2,190,14.4974,-14.4524
,Serbia,2020-04-15 07:13:45,4873,99,0,44.0165,21.0059
,Seychelles,2020-04-15 07:13:45,11,0,0,-4.6796,55492
,Sierra Leone,2020-04-15 07:13:45,13,0,0,8.460555000000001,-11.779889
,Singapore,2020-04-15 07:13:45,3699,10,652,1.2833,103.8333
,Slovakia,2020-04-15 07:13:45,863,6,151,48669,19699
,Slovenia,2020-04-15 07:13:45,1248,61,165,46.1512,14.9955
,Somalia,2020-04-15 07:13:45,80,5,2,5.152149,46.199616
,South Africa,2020-04-15 07:13:45,2506,34,410,-30.5595,22.9375
,South Sudan,2020-04-15 07:13:45,4,0,0,6.877000000000002,31307
,Spain,2020-04-15 07:13:45,180659,18812,70853,40.463667,-3.74922
,Sri Lanka,2020-04-15 07:13:45,238,7,65,7.873054,80.77179699999998
,Sudan,2020-04-15 07:13:45,32,5,4,12.8628,30.2176
,Suriname,2020-04-15 07:13:45,10,1,6,3.9193,-56.0278
,Syria,2020-04-15 07:13:45,33,2,5,34.802075,38.99681500000001
,Taiwan*,2020-04-15 07:13:45,395,6,137,23.7,121.0
,Tanzania,2020-04-15 07:13:45,88,4,11,-6.369028,34.888822
,Thailand,2020-04-15 07:13:45,2672,46,1593,15.870032,100.992541
,Timor-Leste,2020-04-15 07:13:45,8,0,1,-8.874217,125.727539
,Togo,2020-04-15 07:13:45,81,3,35,8.6195,0.8248
,Trinidad and Tobago,2020-04-15 07:13:45,114,8,20,10.6918,-61.2225
,Tunisia,2020-04-15 07:13:45,780,35,43,33.886917,9.537499
,Turkey,2020-04-15 07:13:45,69392,1518,5674,38.9637,35.2433
,Uganda,2020-04-15 07:13:45,55,0,12,1.373333,32.290275
,Ukraine,2020-04-15 07:13:45,4161,116,186,48.3794,31.1656
,United Arab Emirates,2020-04-15 07:13:45,5365,33,1034,23.424076,53.847818
,Uruguay,2020-04-15 07:13:45,493,9,272,-32.5228,-55.7658
,Uzbekistan,2020-04-15 07:13:45,1349,4,107,41.377491,64.585262
,Venezuela,2020-04-15 07:13:45,197,9,111,6.4238,-66.5897
,Vietnam,2020-04-15 07:13:45,268,0,171,14.058324,108.277199
,West Bank and Gaza,2020-04-15 07:13:45,374,2,63,31.9522,35.2332
,Western Sahara,2020-04-15 07:13:45,6,0,0,24.2155,-12.8858
,Yemen,2020-04-15 07:13:45,1,0,0,15.552727,48.516388
,Zambia,2020-04-15 07:13:45,48,2,30,-13.133897,27.849332
,Zimbabwe,2020-04-15 07:13:45,23,3,1,-19.015438,29.154857
