Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-08-02 21:34:39,17923.0,208.0,10423,-25.0,133.0
,Austria,2020-08-02 21:34:39,21304.0,718.0,18984,47.5162,14.5501
,Canada,2020-08-02 21:34:39,118766.0,8990.0,103201,60.001000000000005,-95001
,China,2020-08-02 21:34:39,87942.0,4668.0,81008,30.5928,114.3055
,Denmark,2020-08-02 21:34:39,14028.0,615.0,12783,56.2639,9.5018
,Finland,2020-08-02 21:34:39,7453.0,329.0,6950,61.9241,25.7482
,France,2020-08-02 21:34:39,225198.0,30268.0,81764,46.2276,2.2137
,Germany,2020-08-02 21:34:39,211220.0,9154.0,192908,51.165690999999995,10.451526
,Iceland,2020-08-02 21:34:39,1907.0,10.0,1825,64.9631,-19.0208
,Ireland,2020-08-02 21:34:39,26162.0,1763.0,23364,53.1424,-7.6921
,Italy,2020-08-02 21:34:39,248070.0,35154.0,200460,41.8719,12.5674
,Netherlands,2020-08-02 21:34:39,55390.0,6168.0,206,52.3167,5.55
,Norway,2020-08-02 21:34:39,9263.0,255.0,8752,60472,8.4689
,Russia,2020-08-02 21:34:39,849277.0,14104.0,648961,61.523999999999994,105.3188
,Sweden,2020-08-02 21:34:39,80422.0,5743.0,,60.1282,18.6435
,Switzerland,2020-08-02 21:34:39,35550.0,1981.0,31300,46.8182,8.2275
,United Kingdom,2020-08-02 21:34:39,306315.0,46286.0,1442,55.0,-3.0
,US,2020-08-02 21:34:39,4657693.0,154793.0,1461885,40.0,-100.0
,Spain,2020-08-02 21:34:39,288522.0,28445.0,150376,40.463667,-3.7492199999999998
,Mexico,2020-08-02 21:34:39,434193.0,47472.0,334867,23.6345,-102.5528
,Chile,2020-08-02 21:34:39,359731.0,9608.0,332411,-35.6751,-71543
,Brazil,2020-08-02 21:34:39,2707877.0,93563.0,2062876,-14235,-51.9253
,Peru,2020-08-02 21:34:39,420957.0,19368.0,290835,-9.19,-75.0152
,Colombia,2020-08-02 21:34:39,306181.0,10330.0,160708,4.5709,-74.2973
,Japan,2020-08-02 21:34:39,39113.0,1013.0,25748,36.204824,138.252924
,Ukraine,2020-08-02 21:34:39,73761.0,1749.0,40755,48.3794,31.1656
,India,2020-08-02 21:34:39,1750723.0,37364.0,1145629,20.593684,78.96288
,Pakistan,2020-08-02 21:34:39,279699.0,5976.0,248577,30.3753,69.3451
,Afghanistan,2020-08-02 21:34:39,36710.0,1284.0,25510,33.93911,67.709953
,Albania,2020-08-02 21:34:39,5519.0,166.0,3018,41.1533,20.1683
,Algeria,2020-08-02 21:34:39,31465.0,1231.0,21419,28.0339,1.6596
,Andorra,2020-08-02 21:34:39,925.0,52.0,807,42.5063,1.5218
,Angola,2020-08-02 21:34:39,1199.0,55.0,461,-11.2027,17.8739
,Antigua and Barbuda,2020-08-02 21:34:39,91.0,3.0,67,17.0608,-61.7964
,Argentina,2020-08-02 21:34:39,196543.0,3612.0,89026,-38.4161,-63.6167
,Armenia,2020-08-02 21:34:39,39050.0,754.0,29750,40.0691,45.0382
,Azerbaijan,2020-08-02 21:34:39,32443.0,462.0,27113,40.1431,47.5769
,Bahamas,2020-08-02 21:34:39,599.0,14.0,91,25.025885,-78.035889
,Bahrain,2020-08-02 21:34:39,41190.0,147.0,38211,26.0275,50.55
,Bangladesh,2020-08-02 21:34:39,240746.0,3154.0,136839,23685,90.3563
,Barbados,2020-08-02 21:34:39,122.0,7.0,98,13.1939,-59.5432
,Belarus,2020-08-02 21:34:39,68067.0,567.0,62896,53.7098,27.9534
,Belgium,2020-08-02 21:34:39,69402.0,9845.0,17573,50.8333,4.469936
,Belize,2020-08-02 21:34:39,57.0,2.0,30,17.1899,-88.4976
,Benin,2020-08-02 21:34:39,1805.0,36.0,1036,9.3077,2.3158
,Bhutan,2020-08-02 21:34:39,102.0,0.0,89,27.5142,90.4336
,Bolivia,2020-08-02 21:34:39,78793.0,3064.0,23968,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-08-02 21:34:39,12296.0,352.0,6312,43.9159,17.6791
,Botswana,2020-08-02 21:34:39,804.0,2.0,63,-22.3285,24.6849
,Brunei,2020-08-02 21:34:39,141.0,3.0,138,4.5353,114.7277
,Bulgaria,2020-08-02 21:34:39,11836.0,385.0,6396,42.7339,25.4858
,Burkina Faso,2020-08-02 21:34:39,1143.0,53.0,945,12.2383,-1.5616
,Burma,2020-08-02 21:34:39,353.0,6.0,298,21.9162,95956
,Burundi,2020-08-02 21:34:39,395.0,1.0,304,-3.3731,29.9189
,Cabo Verde,2020-08-02 21:34:39,2480.0,24.0,1837,16.5388,-23.0418
,Cambodia,2020-08-02 21:34:39,240.0,0.0,196,11.55,104.9167
,Cameroon,2020-08-02 21:34:39,17255.0,391.0,15320,3848,11.5021
,Central African Republic,2020-08-02 21:34:39,4614.0,59.0,1635,6.6111,20.9394
,Chad,2020-08-02 21:34:39,936.0,75.0,813,15.4542,18.7322
,Comoros,2020-08-02 21:34:39,386.0,7.0,330,-11.6455,43.3333
,Congo (Brazzaville),2020-08-02 21:34:39,3200.0,54.0,829,-228,15.8277
,Congo (Kinshasa),2020-08-02 21:34:39,9115.0,215.0,7319,-4.0383,21.7587
,Costa Rica,2020-08-02 21:34:39,18975.0,162.0,4585,9.7489,-83.7534
,Cote d'Ivoire,2020-08-02 21:34:39,16182.0,102.0,11801,7.54,-5.5471
,Croatia,2020-08-02 21:34:39,5260.0,149.0,4373,45.1,15.2
,Cuba,2020-08-02 21:34:39,2646.0,87.0,2369,21.521757,-77.78116700000002
,Cyprus,2020-08-02 21:34:39,1150.0,19.0,856,35.1264,33.4299
,Czechia,2020-08-02 21:34:39,16729.0,384.0,11596,49.8175,15473
,Diamond Princess,2020-08-02 21:34:39,712.0,13.0,651,,
,Djibouti,2020-08-02 21:34:39,5161.0,59.0,5019,11.8251,42.5903
,Dominica,2020-08-02 21:34:39,18.0,0.0,18,15415,-61371
,Dominican Republic,2020-08-02 21:34:39,72243.0,1178.0,38244,18.7357,-70.1627
,Ecuador,2020-08-02 21:34:39,86232.0,5736.0,36213,-1.8312,-78.1834
,Egypt,2020-08-02 21:34:39,94483.0,4865.0,42455,26.820553000000004,30.802498
,El Salvador,2020-08-02 21:34:39,17448.0,467.0,8634,13.7942,-88.8965
,Equatorial Guinea,2020-08-02 21:34:39,4821.0,83.0,2182,1.6508,10.2679
,Eritrea,2020-08-02 21:34:39,279.0,0.0,225,15.1794,39.7823
,Estonia,2020-08-02 21:34:39,2079.0,63.0,1934,58.5953,25.0136
,Eswatini,2020-08-02 21:34:39,2775.0,43.0,1214,-26.5225,31.4659
,Ethiopia,2020-08-02 21:34:39,18706.0,310.0,7601,9145,40.4897
,Fiji,2020-08-02 21:34:39,27.0,1.0,18,-17.7134,178065
,Gabon,2020-08-02 21:34:39,7531.0,50.0,5223,-0.8037,11.6094
,Gambia,2020-08-02 21:34:39,498.0,9.0,68,13.4432,-15.3101
,Georgia,2020-08-02 21:34:39,1177.0,17.0,955,42.3154,43.3569
,Ghana,2020-08-02 21:34:39,37014.0,182.0,33365,7.9465,-1.0232
,Greece,2020-08-02 21:34:39,4662.0,208.0,1374,39.0742,21.8243
,Grenada,2020-08-02 21:34:39,24.0,0.0,23,12.1165,-61679
,Guatemala,2020-08-02 21:34:39,51306.0,1995.0,38416,15.7835,-90.2308
,Guinea,2020-08-02 21:34:39,7317.0,46.0,6480,9.9456,-9.6966
,Guinea-Bissau,2020-08-02 21:34:39,1981.0,27.0,803,11.8037,-15.1804
,Guyana,2020-08-02 21:34:39,430.0,20.0,185,4.860416000000002,-58.93018000000001
,Haiti,2020-08-02 21:34:39,7468.0,165.0,4606,18.9712,-72.2852
,Holy See,2020-08-02 21:34:39,12.0,0.0,12,41.9029,12.4534
,Honduras,2020-08-02 21:34:39,42685.0,1368.0,5694,15.2,-86.2419
,Hungary,2020-08-02 21:34:39,4535.0,597.0,3389,47.1625,19.5033
,Indonesia,2020-08-02 21:34:39,111455.0,5236.0,68975,-0.7893,113.9213
,Iran,2020-08-02 21:34:39,309437.0,17190.0,268102,32.427908,53.68804599999999
,Iraq,2020-08-02 21:34:39,129151.0,4868.0,91886,33.223191,43.679291
,Israel,2020-08-02 21:34:39,72815.0,536.0,45677,31.046051,34.851612
,Jamaica,2020-08-02 21:34:39,883.0,10.0,743,18.1096,-77.2975
,Jordan,2020-08-02 21:34:39,1213.0,11.0,1099,31.24,36.51
,Kazakhstan,2020-08-02 21:34:39,91593.0,793.0,61839,48.0196,66.9237
,Kenya,2020-08-02 21:34:39,22053.0,369.0,8477,-0.0236,37.9062
,"Korea, South",2020-08-02 21:34:39,14366.0,301.0,13259,35.90775700000001,127.766922
,Kosovo,2020-08-02 21:34:39,8799.0,249.0,4863,42.602636,20.902977
,Kuwait,2020-08-02 21:34:39,67911.0,457.0,59213,29.31166,47.481766
,Kyrgyzstan,2020-08-02 21:34:39,36719.0,1409.0,27274,41.20438,74.766098
,Laos,2020-08-02 21:34:39,20.0,0.0,19,19.85627,102.495496
,Latvia,2020-08-02 21:34:39,1243.0,32.0,1052,56.8796,24.6032
,Lebanon,2020-08-02 21:34:39,4885.0,62.0,1795,33.8547,35.8623
,Lesotho,2020-08-02 21:34:39,718.0,19.0,173,-29.609988,28.233608
,Liberia,2020-08-02 21:34:39,1207.0,77.0,673,6.4280550000000005,-9.429499
,Libya,2020-08-02 21:34:39,3691.0,80.0,619,26.3351,17.228331
,Liechtenstein,2020-08-02 21:34:39,88.0,1.0,85,47.14,9.55
,Lithuania,2020-08-02 21:34:39,2110.0,80.0,1644,55.1694,23.8813
,Luxembourg,2020-08-02 21:34:39,6793.0,116.0,5192,49.8153,6.1296
,MS Zaandam,2020-08-02 21:34:39,9.0,2.0,,,
,Madagascar,2020-08-02 21:34:39,11528.0,114.0,8444,-18.766947,46.869107
,Malawi,2020-08-02 21:34:39,4231.0,123.0,1919,-13.254307999999998,34.301525
,Malaysia,2020-08-02 21:34:39,8999.0,125.0,8664,4.210483999999999,101.975766
,Maldives,2020-08-02 21:34:39,4164.0,18.0,2643,3.2028,73.2207
,Mali,2020-08-02 21:34:39,2535.0,124.0,1941,17.570692,-3.996166000000001
,Malta,2020-08-02 21:34:39,860.0,9.0,666,35.9375,14.3754
,Mauritania,2020-08-02 21:34:39,6319.0,157.0,5043,21.0079,-10.9408
,Mauritius,2020-08-02 21:34:39,344.0,10.0,332,-20.348404,57.552152
,Moldova,2020-08-02 21:34:39,25362.0,791.0,17816,47.4116,28.3699
,Monaco,2020-08-02 21:34:39,120.0,4.0,105,43.7333,7.4167
,Mongolia,2020-08-02 21:34:39,293.0,0.0,230,46.8625,103.8467
,Montenegro,2020-08-02 21:34:39,3198.0,50.0,1293,42.708678000000006,19.37439
,Morocco,2020-08-02 21:34:39,25537.0,382.0,18435,31.7917,-7.0926
,Mozambique,2020-08-02 21:34:39,1946.0,13.0,654,-18.665695,35.529562
,Namibia,2020-08-02 21:34:39,2294.0,11.0,187,-22.9576,18.4904
,Nepal,2020-08-02 21:34:39,20332.0,57.0,14603,28.1667,84.25
,New Zealand,2020-08-02 21:34:39,1565.0,22.0,1518,-40.9006,174886
,Nicaragua,2020-08-02 21:34:39,3672.0,116.0,2492,12.865416,-85.207229
,Niger,2020-08-02 21:34:39,1138.0,69.0,1028,17.607789,8.081666
,Nigeria,2020-08-02 21:34:39,43537.0,883.0,20087,9082,8.6753
,North Macedonia,2020-08-02 21:34:39,11054.0,497.0,6882,41.6086,21.7453
,Oman,2020-08-02 21:34:39,79159.0,421.0,61421,21.512583,55.92325500000001
,Panama,2020-08-02 21:34:39,66383.0,1449.0,40081,8538,-80.7821
,Papua New Guinea,2020-08-02 21:34:39,110.0,2.0,34,-6.314993,143.95555
