Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-04-26 08:31:19,6714,83,5541,-25.0,133.0
,Austria,2020-04-26 08:31:19,15225,542,12282,47.5162,14.5501
,Canada,2020-04-26 08:31:19,47147,2663,16883,60.001000000000005,-95001
,China,2020-04-26 08:31:19,83912,4637,78290,30.5928,114.3055
,Denmark,2020-04-26 08:31:19,8896,422,5994,56.0,10.0
,Finland,2020-04-26 08:31:19,4576,190,2500,61.9241,25.7482
,France,2020-04-26 08:31:19,162220,22890,45683,46.2276,2.2137
,Germany,2020-04-26 08:31:19,157770,5976,114500,51.1657,10.4515
,Iceland,2020-04-26 08:31:19,1792,10,1608,64.9631,-19.0208
,Ireland,2020-04-26 08:31:19,19262,1087,9233,53.1424,-7.6921
,Italy,2020-04-26 08:31:19,197675,26644,64928,41.8719,12.5674
,Netherlands,2020-04-26 08:31:19,38040,4491,117,52.3167,5.55
,Norway,2020-04-26 08:31:19,7527,201,32,60472,8.4689
,Russia,2020-04-26 08:31:19,87147,794,7346,61.523999999999994,105.3188
,Sweden,2020-04-26 08:31:19,18640,2194,1005,60.1282,18.6435
,Switzerland,2020-04-26 08:31:19,29061,1610,21800,46.8182,8.2275
,United Kingdom,2020-04-26 08:31:19,154037,20795,778,55.0,-3.0
,US,2020-04-26 08:31:19,965933,54877,107045,40.0,-100.0
,Afghanistan,2020-04-26 08:31:19,1531,50,207,33.93911,67.709953
,Albania,2020-04-26 08:31:19,726,28,410,41.1533,20.1683
,Algeria,2020-04-26 08:31:19,3382,425,1508,28.0339,1.6596
,Andorra,2020-04-26 08:31:19,738,40,344,42.5063,1.5218
,Angola,2020-04-26 08:31:19,26,2,6,-11.2027,17.8739
,Antigua and Barbuda,2020-04-26 08:31:19,24,3,11,17.0608,-61.7964
,Argentina,2020-04-26 08:31:19,3892,192,1107,-38.4161,-63.6167
,Armenia,2020-04-26 08:31:19,1808,29,848,40.0691,45.0382
,Azerbaijan,2020-04-26 08:31:19,1645,21,1139,40.1431,47.5769
