Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-03-31 06:46:59,4709,19,358,-25.0,133.0
,Austria,2020-03-31 06:46:59,10192,128,1095,47.5162,14.5501
,Canada,2020-03-31 06:46:59,8591,102,1592,60.001000000000005,-95001
,China,2020-03-31 06:46:59,82301,3310,76207,30.5928,114.3055
,Denmark,2020-03-31 06:46:59,3039,90,77,56.0,10.0
,Finland,2020-03-31 06:46:59,1418,17,10,61.9241,25.7482
,France,2020-03-31 06:46:59,52836,3532,9522,46.2276,2.2137
,Germany,2020-03-31 06:46:59,71808,775,16100,51.1657,10.4515
,Iceland,2020-03-31 06:46:59,1135,2,198,64.9631,-19.0208
,Ireland,2020-03-31 06:46:59,3235,71,5,53.1424,-7.6921
,Italy,2020-03-31 06:46:59,105792,12428,15729,41.8719,12.5674
,Netherlands,2020-03-31 06:46:59,12667,1040,253,52.3167,5.55
,Norway,2020-03-31 06:46:59,4643,39,13,60472,8.4689
,Russia,2020-03-31 06:46:59,2337,17,121,61.523999999999994,105.3188
,Sweden,2020-03-31 06:46:59,4435,180,16,60.1282,18.6435
,Switzerland,2020-03-31 06:46:59,16605,433,1823,46.8182,8.2275
,United Kingdom,2020-03-31 06:46:59,25481,1793,179,55.0,-3.0
,US,2020-03-31 06:46:59,189633,4081,7136,40.0,-100.0
,Afghanistan,2020-03-31 06:46:59,196,4,5,33.93911,67.709953
,Albania,2020-03-31 06:46:59,243,15,52,41.1533,20.1683
,Algeria,2020-03-31 06:46:59,716,44,46,28.0339,1.6596
,Andorra,2020-03-31 06:46:59,376,12,10,42.5063,1.5218
,Angola,2020-03-31 06:46:59,7,2,1,-11.2027,17.8739
,Antigua and Barbuda,2020-03-31 06:46:59,7,0,0,17.0608,-61.7964
,Argentina,2020-03-31 06:46:59,1054,27,240,-38.4161,-63.6167
,Armenia,2020-03-31 06:46:59,532,3,30,40.0691,45.0382
,Azerbaijan,2020-03-31 06:46:59,298,5,26,40.1431,47.5769
,Bahamas,2020-03-31 06:46:59,15,0,1,25.025885,-78.035889
,Bahrain,2020-03-31 06:46:59,567,4,295,26.0275,50.55
,Bangladesh,2020-03-31 06:46:59,54,6,25,23685,90.3563
,Barbados,2020-03-31 06:46:59,34,0,0,13.1939,-59.5432
,Belarus,2020-03-31 06:46:59,163,1,53,53.7098,27.9534
,Belgium,2020-03-31 06:46:59,12775,705,1696,50.8333,4.469936
,Belize,2020-03-31 06:46:59,3,0,0,17.1899,-88.4976
,Benin,2020-03-31 06:46:59,9,0,1,9.3077,2.3158
,Bhutan,2020-03-31 06:46:59,4,0,0,27.5142,90.4336
,Bolivia,2020-03-31 06:46:59,115,7,1,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-03-31 06:46:59,420,13,17,43.9159,17.6791
,Botswana,2020-03-31 06:46:59,4,1,0,-22.3285,24.6849
,Brazil,2020-03-31 06:46:59,5812,202,127,-14235,-51.9253
,Brunei,2020-03-31 06:46:59,129,1,45,4.5353,114.7277
,Bulgaria,2020-03-31 06:46:59,412,8,20,42.7339,25.4858
,Burkina Faso,2020-03-31 06:46:59,261,14,32,12.2383,-1.5616
,Burma,2020-03-31 06:46:59,15,1,0,21.9162,95956
,Burundi,2020-03-31 06:46:59,2,0,0,-3.3731,29.9189
,Cabo Verde,2020-03-31 06:46:59,6,1,0,16.5388,-23.0418
,Cambodia,2020-03-31 06:46:59,109,0,25,11.55,104.9167
,Cameroon,2020-03-31 06:46:59,223,6,5,3848,11.5021
,Central African Republic,2020-03-31 06:46:59,3,0,0,6.6111,20.9394
,Chad,2020-03-31 06:46:59,7,0,0,15.4542,18.7322
,Chile,2020-03-31 06:46:59,2738,12,156,-35.6751,-71543
,Colombia,2020-03-31 06:46:59,906,16,31,4.5709,-74.2973
,Congo (Brazzaville),2020-03-31 06:46:59,19,0,0,-4.2634,15.2832
,Congo (Kinshasa),2020-03-31 06:46:59,98,8,2,-4.322447,15.307045
,Costa Rica,2020-03-31 06:46:59,347,2,4,9.7489,-83.7534
,Cote d'Ivoire,2020-03-31 06:46:59,179,1,7,7.54,-5.5471
,Croatia,2020-03-31 06:46:59,867,6,67,45.1,15.2
,Cuba,2020-03-31 06:46:59,186,6,8,21.521757,-77.78116700000002
,Cyprus,2020-03-31 06:46:59,262,8,23,35.1264,33.4299
,Czechia,2020-03-31 06:46:59,3330,31,45,49.8175,15473
,Diamond Princess,2020-03-31 06:46:59,712,11,603,0.0,0.0
,Djibouti,2020-03-31 06:46:59,30,0,0,11.8251,42.5903
,Dominica,2020-03-31 06:46:59,12,0,0,15415,-61371
,Dominican Republic,2020-03-31 06:46:59,1109,51,5,18.7357,-70.1627
,Ecuador,2020-03-31 06:46:59,2302,79,58,-1.8312,-78.1834
,Egypt,2020-03-31 06:46:59,710,46,157,26.820553000000004,30.802498
,El Salvador,2020-03-31 06:46:59,32,1,0,13.7942,-88.8965
,Equatorial Guinea,2020-03-31 06:46:59,15,0,1,1.6508,10.2679
,Eritrea,2020-03-31 06:46:59,15,0,0,15.1794,39.7823
,Estonia,2020-03-31 06:46:59,745,4,26,58.5953,25.0136
,Eswatini,2020-03-31 06:46:59,9,0,0,-26.5225,31.4659
,Ethiopia,2020-03-31 06:46:59,26,0,2,9145,40.4897
,Fiji,2020-03-31 06:46:59,5,0,0,-17.7134,178065
,Gabon,2020-03-31 06:46:59,18,1,0,-0.8037,11.6094
,Gambia,2020-03-31 06:46:59,4,1,0,13.4432,-15.3101
,Georgia,2020-03-31 06:46:59,110,0,21,42.3154,43.3569
,Ghana,2020-03-31 06:46:59,161,5,31,7.9465,-1.0232
,Greece,2020-03-31 06:46:59,1314,49,52,39.0742,21.8243
,Grenada,2020-03-31 06:46:59,9,0,0,12.1165,-61679
,Guatemala,2020-03-31 06:46:59,38,1,12,15.7835,-90.2308
,Guinea,2020-03-31 06:46:59,22,0,0,9.9456,-9.6966
,Guinea-Bissau,2020-03-31 06:46:59,8,0,0,11.8037,-15.1804
,Guyana,2020-03-31 06:46:59,12,2,0,4.860416000000002,-58.93018000000001
,Haiti,2020-03-31 06:46:59,16,0,1,18.9712,-72.2852
,Holy See,2020-03-31 06:46:59,6,0,0,41.9029,12.4534
,Honduras,2020-03-31 06:46:59,172,10,3,15.2,-86.2419
,Hungary,2020-03-31 06:46:59,525,20,40,47.1625,19.5033
,India,2020-03-31 06:46:59,1590,45,148,20.593684,78.96288
,Indonesia,2020-03-31 06:46:59,1528,136,81,-0.7893,113.9213
,Iran,2020-03-31 06:46:59,44605,2898,14656,32.427908,53.68804599999999
,Iraq,2020-03-31 06:46:59,694,50,170,33.223191,43.679291
,Israel,2020-03-31 06:46:59,5591,21,224,31.046051,34.851612
,Jamaica,2020-03-31 06:46:59,38,2,2,18.1096,-77.2975
,Japan,2020-03-31 06:46:59,2178,57,424,36.204824,138.252924
,Jordan,2020-03-31 06:46:59,274,5,30,31.24,36.51
,Kazakhstan,2020-03-31 06:46:59,369,3,24,48.0196,66.9237
,Kenya,2020-03-31 06:46:59,59,1,1,-0.0236,37.9062
,"Korea, South",2020-03-31 06:46:59,9887,165,5567,35.90775700000001,127.766922
,Kosovo,2020-03-31 06:46:59,112,1,6,42.602636,20.902977
,Kuwait,2020-03-31 06:46:59,289,0,73,29.31166,47.481766
,Kyrgyzstan,2020-03-31 06:46:59,107,0,3,41.20438,74.766098
,Laos,2020-03-31 06:46:59,9,0,0,19.85627,102.495496
,Latvia,2020-03-31 06:46:59,398,0,1,56.8796,24.6032
,Lebanon,2020-03-31 06:46:59,463,12,37,33.8547,35.8623
,Liberia,2020-03-31 06:46:59,3,0,0,6.4280550000000005,-9.429499
,Libya,2020-03-31 06:46:59,10,0,1,26.3351,17.228331
,Liechtenstein,2020-03-31 06:46:59,68,0,0,47.14,9.55
,Lithuania,2020-03-31 06:46:59,581,8,7,55.1694,23.8813
,Luxembourg,2020-03-31 06:46:59,2178,23,80,49.8153,6.1296
,MS Zaandam,2020-03-31 06:46:59,2,0,0,0.0,0.0
,Madagascar,2020-03-31 06:46:59,57,0,0,-18.766947,46.869107
,Malaysia,2020-03-31 06:46:59,2766,43,537,4.210483999999999,101.975766
,Maldives,2020-03-31 06:46:59,18,0,13,3.2028,73.2207
,Mali,2020-03-31 06:46:59,28,2,0,17.570692,-3.996166000000001
,Malta,2020-03-31 06:46:59,169,0,2,35.9375,14.3754
,Mauritania,2020-03-31 06:46:59,6,1,2,21.0079,-10.9408
,Mauritius,2020-03-31 06:46:59,143,5,0,-20.348404,57.552152
,Mexico,2020-03-31 06:46:59,1215,29,35,23.6345,-102.5528
,Moldova,2020-03-31 06:46:59,353,4,18,47.4116,28.3699
,Monaco,2020-03-31 06:46:59,52,1,2,43.7333,7.4167
,Mongolia,2020-03-31 06:46:59,14,0,2,46.8625,103.8467
,Montenegro,2020-03-31 06:46:59,109,2,0,42.708678000000006,19.37439
,Morocco,2020-03-31 06:46:59,617,36,24,31.7917,-7.0926
,Mozambique,2020-03-31 06:46:59,8,0,0,-18.665695,35.529562
,Namibia,2020-03-31 06:46:59,11,0,2,-22.9576,18.4904
,Nepal,2020-03-31 06:46:59,5,0,1,28.1667,84.25
,New Zealand,2020-03-31 06:46:59,708,1,83,-40.9006,174886
,Nicaragua,2020-03-31 06:46:59,5,1,0,12.865416,-85.207229
,Niger,2020-03-31 06:46:59,34,3,0,17.607789,8.081666
,Nigeria,2020-03-31 06:46:59,139,2,9,9082,8.6753
,North Macedonia,2020-03-31 06:46:59,329,9,12,41.6086,21.7453
,Oman,2020-03-31 06:46:59,192,1,34,21.512583,55.92325500000001
,Pakistan,2020-03-31 06:46:59,2042,26,82,30.3753,69.3451
,Panama,2020-03-31 06:46:59,1181,30,9,8538,-80.7821
,Papua New Guinea,2020-03-31 06:46:59,1,0,0,-6.314993,143.95555
,Paraguay,2020-03-31 06:46:59,65,3,1,-23.4425,-58.4438
,Peru,2020-03-31 06:46:59,1065,30,394,-9.19,-75.0152
,Philippines,2020-03-31 06:46:59,2084,88,49,12.879721,121.774017
,Poland,2020-03-31 06:46:59,2311,33,7,51.9194,19.1451
,Portugal,2020-03-31 06:46:59,7443,160,43,39.3999,-8.2245
,Qatar,2020-03-31 06:46:59,781,2,62,25.3548,51.1839
,Romania,2020-03-31 06:46:59,2245,82,220,45.9432,24.9668
,Rwanda,2020-03-31 06:46:59,75,0,0,-1.9403,29.8739
,Saint Kitts and Nevis,2020-03-31 06:46:59,8,0,0,17.357822,-62.782998
,Saint Lucia,2020-03-31 06:46:59,13,0,1,13.9094,-60.9789
,Saint Vincent and the Grenadines,2020-03-31 06:46:59,1,0,1,12.9843,-61.2872
,San Marino,2020-03-31 06:46:59,236,26,13,43.9424,12.4578
,Saudi Arabia,2020-03-31 06:46:59,1563,10,165,23.885942,45.079162
,Senegal,2020-03-31 06:46:59,175,0,40,14.4974,-14.4524
,Serbia,2020-03-31 06:46:59,900,16,0,44.0165,21.0059
,Seychelles,2020-03-31 06:46:59,10,0,0,-4.6796,55492
,Sierra Leone,2020-03-31 06:46:59,1,0,0,8.460555000000001,-11.779889
,Singapore,2020-03-31 06:46:59,926,3,240,1.2833,103.8333
,Slovakia,2020-03-31 06:46:59,363,0,3,48669,19699
,Slovenia,2020-03-31 06:46:59,802,15,10,46.1512,14.9955
,Somalia,2020-03-31 06:46:59,5,0,1,5.152149,46.199616
,South Africa,2020-03-31 06:46:59,1353,5,31,-30.5595,22.9375
,Spain,2020-03-31 06:46:59,95923,8464,19259,40.463667,-3.74922
,Sri Lanka,2020-03-31 06:46:59,143,2,17,7.873054,80.77179699999998
,Sudan,2020-03-31 06:46:59,7,2,1,12.8628,30.2176
,Suriname,2020-03-31 06:46:59,10,0,0,3.9193,-56.0278
,Syria,2020-03-31 06:46:59,10,2,0,34.802075,38.99681500000001
,Taiwan*,2020-03-31 06:46:59,322,5,39,23.7,121.0
,Tanzania,2020-03-31 06:46:59,19,1,1,-6.369028,34.888822
,Thailand,2020-03-31 06:46:59,1771,12,342,15.870032,100.992541
,Timor-Leste,2020-03-31 06:46:59,1,0,0,-8.874217,125.727539
,Togo,2020-03-31 06:46:59,34,1,10,8.6195,0.8248
,Trinidad and Tobago,2020-03-31 06:46:59,89,4,1,10.6918,-61.2225
,Tunisia,2020-03-31 06:46:59,394,10,3,33.886917,9.537499
,Turkey,2020-03-31 06:46:59,13531,214,243,38.9637,35.2433
,Uganda,2020-03-31 06:46:59,44,0,0,1.373333,32.290275
,Ukraine,2020-03-31 06:46:59,645,17,10,48.3794,31.1656
,United Arab Emirates,2020-03-31 06:46:59,664,6,61,23.424076,53.847818
,Uruguay,2020-03-31 06:46:59,338,1,41,-32.5228,-55.7658
,Uzbekistan,2020-03-31 06:46:59,173,2,8,41.377491,64.585262
,Venezuela,2020-03-31 06:46:59,143,3,41,6.4238,-66.5897
,Vietnam,2020-03-31 06:46:59,212,0,58,14.058324,108.277199
,West Bank and Gaza,2020-03-31 06:46:59,119,1,18,31.9522,35.2332
,Zambia,2020-03-31 06:46:59,36,0,0,-13.133897,27.849332
,Zimbabwe,2020-03-31 06:46:59,8,1,0,-19.015438,29.154857
