Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-04-27 07:31:20,6721,83,5588,-25.0,133.0
,Austria,2020-04-27 07:31:20,15274,549,12362,47.5162,14.5501
,Canada,2020-04-27 07:31:20,49616,2841,18268,60.00100000000001,-95001
,China,2020-04-27 07:31:20,83938,4637,78377,30.5928,114.3055
,Denmark,2020-04-27 07:31:20,8896,427,6151,56.0,10.0
,Finland,2020-04-27 07:31:20,4695,193,2500,61.9241,25.7482
,France,2020-04-27 07:31:20,165977,23327,46303,46.2276,2.2137
,Germany,2020-04-27 07:31:20,158758,6126,114500,51.1657,10.4515
,Iceland,2020-04-27 07:31:20,1792,10,1624,64.9631,-19.0208
,Ireland,2020-04-27 07:31:20,19648,1102,9233,53.1424,-7.6921
,Italy,2020-04-27 07:31:20,199414,26977,66624,41.8719,12.5674
,Netherlands,2020-04-27 07:31:20,38440,4534,117,52.3167,5.55
,Norway,2020-04-27 07:31:20,7599,205,32,60472,8.4689
,Russia,2020-04-27 07:31:20,87147,794,7346,61524,105.3188
,Sweden,2020-04-27 07:31:20,18926,2274,1005,60.1282,18.6435
,Switzerland,2020-04-27 07:31:20,29164,1665,22200,46.8182,8.2275
,United Kingdom,2020-04-27 07:31:20,158348,21157,809,55.0,-3.0
,US,2020-04-27 07:31:20,988469,56253,111583,40.0,-100.0
,Afghanistan,2020-04-27 07:31:20,1703,57,220,33.93911,67.709953
,Albania,2020-04-27 07:31:20,736,28,422,41.1533,20.1683
,Algeria,2020-04-27 07:31:20,3517,432,1558,28.0339,1.6596
,Andorra,2020-04-27 07:31:20,743,40,385,42.5063,1.5218
,Angola,2020-04-27 07:31:20,27,2,6,-11.2027,17.8739
,Antigua and Barbuda,2020-04-27 07:31:20,24,3,11,17.0608,-61.7964
,Argentina,2020-04-27 07:31:20,4003,197,1140,-38.4161,-63.6167
,Armenia,2020-04-27 07:31:20,1867,30,866,40.0691,45.0382
,Azerbaijan,2020-04-27 07:31:20,1678,22,1162,40.1431,47.5769
,Bahamas,2020-04-27 07:31:20,80,11,22,25.025885,-78.035889
,Bahrain,2020-04-27 07:31:20,2723,8,1218,26.0275,50.55
,Bangladesh,2020-04-27 07:31:20,5913,152,131,23685,90.3563
,Barbados,2020-04-27 07:31:20,80,6,39,13.1939,-59.5432
,Belarus,2020-04-27 07:31:20,11289,75,1740,53.7098,27.9534
,Belgium,2020-04-27 07:31:20,46687,7207,10878,50.8333,4.469936
,Belize,2020-04-27 07:31:20,18,2,6,17.1899,-88.4976
,Benin,2020-04-27 07:31:20,64,1,33,9.3077,2.3158
,Bhutan,2020-04-27 07:31:20,7,0,5,27.5142,90.4336
,Bolivia,2020-04-27 07:31:20,1014,53,98,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-04-27 07:31:20,1565,60,659,43.9159,17.6791
,Botswana,2020-04-27 07:31:20,22,1,0,-22.3285,24.6849
,Brazil,2020-04-27 07:31:20,67446,4603,31142,-14235,-51.9253
,Brunei,2020-04-27 07:31:20,138,1,124,4.5353,114.7277
,Bulgaria,2020-04-27 07:31:20,1387,58,222,42.7339,25.4858
,Burkina Faso,2020-04-27 07:31:20,635,42,469,12.2383,-1.5616
,Burma,2020-04-27 07:31:20,146,5,16,21.9162,95956
,Burundi,2020-04-27 07:31:20,11,1,4,-3.3731,29.9189
,Cabo Verde,2020-04-27 07:31:20,109,1,2,16.5388,-23.0418
,Cambodia,2020-04-27 07:31:20,122,0,119,11.55,104.9167
,Cameroon,2020-04-27 07:31:20,1705,58,805,3.8480000000000003,11.5021
,Central African Republic,2020-04-27 07:31:20,50,0,10,6.6111,20.9394
,Chad,2020-04-27 07:31:20,46,0,15,15.4542,18.7322
,Chile,2020-04-27 07:31:20,13813,198,7327,-35.6751,-71543
,Colombia,2020-04-27 07:31:20,5597,253,1210,4.5709,-74.2973
,Congo (Brazzaville),2020-04-27 07:31:20,207,8,19,-4.2634,15.2832
,Congo (Kinshasa),2020-04-27 07:31:20,459,28,50,-4.322447,15.307045
,Costa Rica,2020-04-27 07:31:20,697,6,287,9.7489,-83.7534
,Cote d'Ivoire,2020-04-27 07:31:20,1164,14,499,7.54,-5.5471
,Croatia,2020-04-27 07:31:20,2039,59,1166,45.1,15.2
