Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-03-29 09:44:56,4197,17,244,-25.0,133.0
,Austria,2020-03-29 09:44:56,8788,86,479,47.5162,14.5501
,Canada,2020-03-29 09:44:56,6320,64,466,60.001000000000005,-95001
,China,2020-03-29 09:44:56,82152,3308,75911,30.5928,114.3055
,Denmark,2020-03-29 09:44:56,2564,72,73,56.0,10.0
,Finland,2020-03-29 09:44:56,1240,11,10,61.9241,25.7482
,France,2020-03-29 09:44:56,40723,2611,7226,46.2276,2.2137
,Germany,2020-03-29 09:44:56,62435,541,9211,51.1657,10.4515
,Iceland,2020-03-29 09:44:56,1020,2,135,64.9631,-19.0208
,Ireland,2020-03-29 09:44:56,2615,46,5,53.1424,-7.6921
,Italy,2020-03-29 09:44:56,97689,10779,13030,41.8719,12.5674
,Netherlands,2020-03-29 09:44:56,10930,772,253,52.3167,5.55
,Norway,2020-03-29 09:44:56,4284,26,7,60472,8.4689
,Russia,2020-03-29 09:44:56,1534,8,64,61.523999999999994,105.3188
,Sweden,2020-03-29 09:44:56,3700,110,16,60.1282,18.6435
,Switzerland,2020-03-29 09:44:56,14829,300,1595,46.8182,8.2275
,United Kingdom,2020-03-29 09:44:56,19784,1231,151,55.0,-3.0
,US,2020-03-29 09:44:56,143025,2514,4865,40.0,-100.0
,Afghanistan,2020-03-29 09:44:56,120,4,2,33.93911,67.709953
,Albania,2020-03-29 09:44:56,212,10,33,41.1533,20.1683
,Algeria,2020-03-29 09:44:56,511,31,31,28.0339,1.6596
,Andorra,2020-03-29 09:44:56,334,6,1,42.5063,1.5218
,Angola,2020-03-29 09:44:56,7,2,0,-11.2027,17.8739
,Antigua and Barbuda,2020-03-29 09:44:56,7,0,0,17.0608,-61.7964
,Argentina,2020-03-29 09:44:56,820,20,91,-38.4161,-63.6167
,Armenia,2020-03-29 09:44:56,424,3,30,40.0691,45.0382
,Azerbaijan,2020-03-29 09:44:56,209,4,15,40.1431,47.5769
,Bahamas,2020-03-29 09:44:56,14,0,1,25.025885,-78.035889
,Bahrain,2020-03-29 09:44:56,499,4,272,26.0275,50.55
,Bangladesh,2020-03-29 09:44:56,48,5,15,23685,90.3563
,Barbados,2020-03-29 09:44:56,33,0,0,13.1939,-59.5432
,Belarus,2020-03-29 09:44:56,94,0,32,53.7098,27.9534
,Belgium,2020-03-29 09:44:56,10836,431,1359,50.8333,4.469936
,Belize,2020-03-29 09:44:56,2,0,0,17.1899,-88.4976
,Benin,2020-03-29 09:44:56,6,0,0,9.3077,2.3158
,Bhutan,2020-03-29 09:44:56,4,0,0,27.5142,90.4336
,Bolivia,2020-03-29 09:44:56,96,1,0,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-03-29 09:44:56,340,6,8,43.9159,17.6791
,Brazil,2020-03-29 09:44:56,4256,136,6,-14235,-51.9253
,Brunei,2020-03-29 09:44:56,126,1,34,4.5353,114.7277
,Bulgaria,2020-03-29 09:44:56,354,8,15,42.7339,25.4858
,Burkina Faso,2020-03-29 09:44:56,222,12,23,12.2383,-1.5616
,Burma,2020-03-29 09:44:56,10,0,0,21.9162,95956
,Cabo Verde,2020-03-29 09:44:56,6,1,0,16.5388,-23.0418
,Cambodia,2020-03-29 09:44:56,103,0,21,11.55,104.9167
,Cameroon,2020-03-29 09:44:56,139,6,5,3848,11.5021
,Central African Republic,2020-03-29 09:44:56,3,0,0,6.6111,20.9394
,Chad,2020-03-29 09:44:56,3,0,0,15.4542,18.7322
,Chile,2020-03-29 09:44:56,2139,7,75,-35.6751,-71543
,Colombia,2020-03-29 09:44:56,702,10,10,4.5709,-74.2973
,Congo (Brazzaville),2020-03-29 09:44:56,19,0,0,-4.2634,15.2832
,Congo (Kinshasa),2020-03-29 09:44:56,81,8,2,-4.322447,15.307045
,Costa Rica,2020-03-29 09:44:56,314,2,3,9.7489,-83.7534
,Cote d'Ivoire,2020-03-29 09:44:56,165,1,4,7.54,-5.5471
,Croatia,2020-03-29 09:44:56,713,6,55,45.1,15.2
,Cuba,2020-03-29 09:44:56,139,3,4,21.521757,-77.78116700000002
,Cyprus,2020-03-29 09:44:56,214,6,15,35.1264,33.4299
,Czechia,2020-03-29 09:44:56,2817,16,11,49.8175,15473
,Diamond Princess,2020-03-29 09:44:56,712,10,603,0.0,0.0
,Djibouti,2020-03-29 09:44:56,18,0,0,11.8251,42.5903
,Dominica,2020-03-29 09:44:56,11,0,0,15415,-61371
,Dominican Republic,2020-03-29 09:44:56,859,39,3,18.7357,-70.1627
,Ecuador,2020-03-29 09:44:56,1924,58,3,-1.8312,-78.1834
,Egypt,2020-03-29 09:44:56,609,40,132,26.820553000000004,30.802498
,El Salvador,2020-03-29 09:44:56,30,0,0,13.7942,-88.8965
,Equatorial Guinea,2020-03-29 09:44:56,12,0,0,1.6508,10.2679
,Eritrea,2020-03-29 09:44:56,12,0,0,15.1794,39.7823
,Estonia,2020-03-29 09:44:56,679,3,20,58.5953,25.0136
,Eswatini,2020-03-29 09:44:56,9,0,0,-26.5225,31.4659
,Ethiopia,2020-03-29 09:44:56,21,0,1,9145,40.4897
,Fiji,2020-03-29 09:44:56,5,0,0,-17.7134,178065
,Gabon,2020-03-29 09:44:56,7,1,0,-0.8037,11.6094
,Gambia,2020-03-29 09:44:56,4,1,0,13.4432,-15.3101
,Georgia,2020-03-29 09:44:56,97,0,18,42.3154,43.3569
,Ghana,2020-03-29 09:44:56,152,5,2,7.9465,-1.0232
,Greece,2020-03-29 09:44:56,1156,39,52,39.0742,21.8243
,Grenada,2020-03-29 09:44:56,9,0,0,12.1165,-61679
,Guatemala,2020-03-29 09:44:56,34,1,10,15.7835,-90.2308
,Guinea,2020-03-29 09:44:56,16,0,0,9.9456,-9.6966
,Guinea-Bissau,2020-03-29 09:44:56,2,0,0,11.8037,-15.1804
,Guyana,2020-03-29 09:44:56,8,1,0,4.860416000000002,-58.93018000000001
,Haiti,2020-03-29 09:44:56,15,0,1,18.9712,-72.2852
,Holy See,2020-03-29 09:44:56,6,0,0,41.9029,12.4534
,Honduras,2020-03-29 09:44:56,139,3,3,15.2,-86.2419
,Hungary,2020-03-29 09:44:56,447,15,34,47.1625,19.5033
,India,2020-03-29 09:44:56,1071,29,100,20.593684,78.96288
,Indonesia,2020-03-29 09:44:56,1285,114,64,-0.7893,113.9213
,Iran,2020-03-29 09:44:56,38309,2640,12391,32.427908,53.68804599999999
,Iraq,2020-03-29 09:44:56,547,42,143,33.223191,43.679291
,Israel,2020-03-29 09:44:56,4247,15,132,31.046051,34.851612
,Jamaica,2020-03-29 09:44:56,32,1,2,18.1096,-77.2975
,Japan,2020-03-29 09:44:56,1866,54,424,36.204824,138.252924
,Jordan,2020-03-29 09:44:56,259,3,18,31.24,36.51
,Kazakhstan,2020-03-29 09:44:56,293,1,20,48.0196,66.9237
,Kenya,2020-03-29 09:44:56,42,1,1,-0.0236,37.9062
,"Korea, South",2020-03-29 09:44:56,9661,158,5228,35.90775700000001,127.766922
,Kosovo,2020-03-29 09:44:56,94,1,1,42.602636,20.902977
,Kuwait,2020-03-29 09:44:56,255,0,67,29.31166,47.481766
,Kyrgyzstan,2020-03-29 09:44:56,84,0,0,41.20438,74.766098
,Laos,2020-03-29 09:44:56,8,0,0,19.85627,102.495496
,Latvia,2020-03-29 09:44:56,347,0,1,56.8796,24.6032
,Lebanon,2020-03-29 09:44:56,438,10,30,33.8547,35.8623
,Liberia,2020-03-29 09:44:56,3,0,0,6.4280550000000005,-9.429499
,Libya,2020-03-29 09:44:56,8,0,0,26.3351,17.228331
,Liechtenstein,2020-03-29 09:44:56,56,0,0,47.14,9.55
,Lithuania,2020-03-29 09:44:56,460,7,1,55.1694,23.8813
,Luxembourg,2020-03-29 09:44:56,1950,21,40,49.8153,6.1296
,MS Zaandam,2020-03-29 09:44:56,2,0,0,0.0,0.0
,Madagascar,2020-03-29 09:44:56,39,0,0,-18.766947,46.869107
,Malaysia,2020-03-29 09:44:56,2470,35,388,4.210483999999999,101.975766
,Maldives,2020-03-29 09:44:56,17,0,13,3.2028,73.2207
,Mali,2020-03-29 09:44:56,18,1,0,17.570692,-3.996166000000001
,Malta,2020-03-29 09:44:56,151,0,2,35.9375,14.3754
,Mauritania,2020-03-29 09:44:56,5,0,2,21.0079,-10.9408
,Mauritius,2020-03-29 09:44:56,110,3,0,-20.348404,57.552152
,Mexico,2020-03-29 09:44:56,993,20,35,23.6345,-102.5528
,Moldova,2020-03-29 09:44:56,263,2,2,47.4116,28.3699
,Monaco,2020-03-29 09:44:56,46,1,1,43.7333,7.4167
,Mongolia,2020-03-29 09:44:56,12,0,2,46.8625,103.8467
,Montenegro,2020-03-29 09:44:56,85,1,0,42.708678000000006,19.37439
,Morocco,2020-03-29 09:44:56,479,26,13,31.7917,-7.0926
