Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-07-31 14:35:38,16906.0,197.0,9982,-25.0,133.0
,Austria,2020-07-31 14:35:38,21130.0,718.0,18758,47.5162,14.5501
,Canada,2020-07-31 14:35:38,117680.0,8974.0,102345,60.001000000000005,-95001
,China,2020-07-31 14:35:38,87610.0,4661.0,80773,30.5928,114.3055
,Denmark,2020-07-31 14:35:38,14028.0,615.0,12779,56.2639,9.5018
,Finland,2020-07-31 14:35:38,7432.0,329.0,6950,61.9241,25.7482
,France,2020-07-31 14:35:38,222469.0,30241.0,81632,46.2276,2.2137
,Germany,2020-07-31 14:35:38,210123.0,9147.0,191918,51.165690999999995,10.451526
,Iceland,2020-07-31 14:35:38,1885.0,10.0,1825,64.9631,-19.0208
,Ireland,2020-07-31 14:35:38,26027.0,1763.0,23364,53.1424,-7.6921
,Italy,2020-07-31 14:35:38,247158.0,35132.0,199796,41.8719,12.5674
,Netherlands,2020-07-31 14:35:38,54589.0,6166.0,200,52.3167,5.55
,Norway,2020-07-31 14:35:38,9217.0,255.0,8752,60472,8.4689
,Russia,2020-07-31 14:35:38,838461.0,13939.0,637217,61.523999999999994,105.3188
,Sweden,2020-07-31 14:35:38,80422.0,5743.0,,60.1282,18.6435
,Switzerland,2020-07-31 14:35:38,35232.0,1981.0,31100,46.8182,8.2275
,United Kingdom,2020-07-31 14:35:38,303913.0,46084.0,1439,55.0,-3.0
,US,2020-07-31 14:35:38,4496737.0,152074.0,1414155,40.0,-100.0
,Spain,2020-07-31 14:35:38,285430.0,28443.0,150376,40.463667,-3.7492199999999998
,Mexico,2020-07-31 14:35:38,416179.0,46000.0,320100,23.6345,-102.5528
,Chile,2020-07-31 14:35:38,353536.0,9377.0,326628,-35.6751,-71543
,Brazil,2020-07-31 14:35:38,2610102.0,91263.0,1964853,-14235,-51.9253
,Peru,2020-07-31 14:35:38,400683.0,18816.0,283915,-9.19,-75.0152
,Colombia,2020-07-31 14:35:38,276055.0,9808.0,148692,4.5709,-74.2973
,Japan,2020-07-31 14:35:38,36209.0,1008.0,24774,36.204824,138.252924
,Ukraine,2020-07-31 14:35:38,71404.0,1717.0,39945,48.3794,31.1656
,India,2020-07-31 14:35:38,1638827.0,35745.0,1057805,20.593684,78.96288
,Pakistan,2020-07-31 14:35:38,278305.0,5951.0,247177,30.3753,69.3451
,Afghanistan,2020-07-31 14:35:38,36675.0,1272.0,25509,33.93911,67.709953
,Albania,2020-07-31 14:35:38,5197.0,154.0,2883,41.1533,20.1683
,Algeria,2020-07-31 14:35:38,29831.0,1200.0,20082,28.0339,1.6596
,Andorra,2020-07-31 14:35:38,925.0,52.0,807,42.5063,1.5218
,Angola,2020-07-31 14:35:38,1109.0,51.0,395,-11.2027,17.8739
,Antigua and Barbuda,2020-07-31 14:35:38,91.0,3.0,67,17.0608,-61.7964
,Argentina,2020-07-31 14:35:38,185373.0,3466.0,83780,-38.4161,-63.6167
,Armenia,2020-07-31 14:35:38,38550.0,738.0,28997,40.0691,45.0382
,Azerbaijan,2020-07-31 14:35:38,31878.0,448.0,25882,40.1431,47.5769
,Bahamas,2020-07-31 14:35:38,508.0,14.0,91,25.025885,-78.035889
,Bahrain,2020-07-31 14:35:38,40755.0,147.0,37357,26.0275,50.55
,Bangladesh,2020-07-31 14:35:38,237661.0,3111.0,135136,23685,90.3563
,Barbados,2020-07-31 14:35:38,110.0,7.0,96,13.1939,-59.5432
,Belarus,2020-07-31 14:35:38,67808.0,559.0,62444,53.7098,27.9534
,Belgium,2020-07-31 14:35:38,68006.0,9840.0,17513,50.8333,4.469936
,Belize,2020-07-31 14:35:38,48.0,2.0,27,17.1899,-88.4976
,Benin,2020-07-31 14:35:38,1805.0,36.0,1036,9.3077,2.3158
,Bhutan,2020-07-31 14:35:38,101.0,0.0,88,27.5142,90.4336
,Bolivia,2020-07-31 14:35:38,75234.0,2894.0,23305,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-07-31 14:35:38,11876.0,339.0,5959,43.9159,17.6791
,Botswana,2020-07-31 14:35:38,804.0,2.0,63,-22.3285,24.6849
,Brunei,2020-07-31 14:35:38,141.0,3.0,138,4.5353,114.7277
,Bulgaria,2020-07-31 14:35:38,11420.0,374.0,6173,42.7339,25.4858
,Burkina Faso,2020-07-31 14:35:38,1106.0,53.0,935,12.2383,-1.5616
,Burma,2020-07-31 14:35:38,353.0,6.0,296,21.9162,95956
,Burundi,2020-07-31 14:35:38,387.0,1.0,304,-3.3731,29.9189
,Cabo Verde,2020-07-31 14:35:38,2418.0,23.0,1694,16.5388,-23.0418
,Cambodia,2020-07-31 14:35:38,234.0,0.0,164,11.55,104.9167
,Cameroon,2020-07-31 14:35:38,17255.0,391.0,15320,3848,11.5021
,Central African Republic,2020-07-31 14:35:38,4605.0,59.0,1574,6.6111,20.9394
,Chad,2020-07-31 14:35:38,935.0,75.0,813,15.4542,18.7322
,Comoros,2020-07-31 14:35:38,378.0,7.0,330,-11.6455,43.3333
,Congo (Brazzaville),2020-07-31 14:35:38,3200.0,54.0,829,-228,15.8277
,Congo (Kinshasa),2020-07-31 14:35:38,9070.0,215.0,6796,-4.0383,21.7587
,Costa Rica,2020-07-31 14:35:38,17290.0,140.0,4280,9.7489,-83.7534
,Cote d'Ivoire,2020-07-31 14:35:38,15978.0,100.0,11160,7.54,-5.5471
,Croatia,2020-07-31 14:35:38,5139.0,145.0,4267,45.1,15.2
,Cuba,2020-07-31 14:35:38,2608.0,87.0,2355,21.521757,-77.78116700000002
,Cyprus,2020-07-31 14:35:38,1090.0,19.0,852,35.1264,33.4299
,Czechia,2020-07-31 14:35:38,16371.0,379.0,11482,49.8175,15473
,Diamond Princess,2020-07-31 14:35:38,712.0,13.0,651,,
,Djibouti,2020-07-31 14:35:38,5081.0,58.0,4999,11.8251,42.5903
,Dominica,2020-07-31 14:35:38,18.0,0.0,18,15415,-61371
,Dominican Republic,2020-07-31 14:35:38,67915.0,1146.0,35302,18.7357,-70.1627
,Ecuador,2020-07-31 14:35:38,84370.0,5657.0,35824,-1.8312,-78.1834
,Egypt,2020-07-31 14:35:38,93757.0,4774.0,38236,26.820553000000004,30.802498
,El Salvador,2020-07-31 14:35:38,16632.0,448.0,8362,13.7942,-88.8965
,Equatorial Guinea,2020-07-31 14:35:38,3071.0,51.0,842,1.6508,10.2679
,Eritrea,2020-07-31 14:35:38,279.0,0.0,225,15.1794,39.7823
,Estonia,2020-07-31 14:35:38,2064.0,69.0,1930,58.5953,25.0136
,Eswatini,2020-07-31 14:35:38,2577.0,40.0,1134,-26.5225,31.4659
,Ethiopia,2020-07-31 14:35:38,16615.0,263.0,6763,9145,40.4897
,Fiji,2020-07-31 14:35:38,27.0,1.0,18,-17.7134,178065
,Gabon,2020-07-31 14:35:38,7352.0,49.0,4943,-0.8037,11.6094
,Gambia,2020-07-31 14:35:38,403.0,8.0,66,13.4432,-15.3101
,Georgia,2020-07-31 14:35:38,1168.0,17.0,940,42.3154,43.3569
,Ghana,2020-07-31 14:35:38,35142.0,175.0,31286,7.9465,-1.0232
,Greece,2020-07-31 14:35:38,4401.0,203.0,1374,39.0742,21.8243
,Grenada,2020-07-31 14:35:38,24.0,0.0,23,12.1165,-61679
,Guatemala,2020-07-31 14:35:38,48826.0,1867.0,35629,15.7835,-90.2308
,Guinea,2020-07-31 14:35:38,7242.0,46.0,6438,9.9456,-9.6966
,Guinea-Bissau,2020-07-31 14:35:38,1981.0,26.0,803,11.8037,-15.1804
,Guyana,2020-07-31 14:35:38,401.0,20.0,185,4.860416000000002,-58.93018000000001
,Haiti,2020-07-31 14:35:38,7412.0,161.0,4467,18.9712,-72.2852
,Holy See,2020-07-31 14:35:38,12.0,0.0,12,41.9029,12.4534
,Honduras,2020-07-31 14:35:38,41426.0,1312.0,5443,15.2,-86.2419
,Hungary,2020-07-31 14:35:38,4505.0,596.0,3353,47.1625,19.5033
,Indonesia,2020-07-31 14:35:38,108376.0,5131.0,65907,-0.7893,113.9213
,Iran,2020-07-31 14:35:38,304204.0,16766.0,263519,32.427908,53.68804599999999
,Iraq,2020-07-31 14:35:38,124609.0,4741.0,87434,33.223191,43.679291
,Israel,2020-07-31 14:35:38,70582.0,509.0,43813,31.046051,34.851612
,Jamaica,2020-07-31 14:35:38,864.0,10.0,724,18.1096,-77.2975
,Jordan,2020-07-31 14:35:38,1193.0,11.0,1084,31.24,36.51
,Kazakhstan,2020-07-31 14:35:38,89078.0,793.0,59517,48.0196,66.9237
,Kenya,2020-07-31 14:35:38,20636.0,341.0,8165,-0.0236,37.9062
,"Korea, South",2020-07-31 14:35:38,14305.0,301.0,13183,35.90775700000001,127.766922
,Kosovo,2020-07-31 14:35:38,8104.0,212.0,4463,42.602636,20.902977
,Kuwait,2020-07-31 14:35:38,66957.0,447.0,57932,29.31166,47.481766
,Kyrgyzstan,2020-07-31 14:35:38,35619.0,1372.0,24685,41.20438,74.766098
,Laos,2020-07-31 14:35:38,20.0,0.0,19,19.85627,102.495496
,Latvia,2020-07-31 14:35:38,1231.0,32.0,1052,56.8796,24.6032
,Lebanon,2020-07-31 14:35:38,4334.0,57.0,1753,33.8547,35.8623
,Lesotho,2020-07-31 14:35:38,604.0,13.0,144,-29.609988,28.233608
,Liberia,2020-07-31 14:35:38,1186.0,75.0,670,6.4280550000000005,-9.429499
,Libya,2020-07-31 14:35:38,3438.0,73.0,604,26.3351,17.228331
,Liechtenstein,2020-07-31 14:35:38,88.0,1.0,85,47.14,9.55
,Lithuania,2020-07-31 14:35:38,2075.0,80.0,1644,55.1694,23.8813
,Luxembourg,2020-07-31 14:35:38,6616.0,114.0,5027,49.8153,6.1296
,MS Zaandam,2020-07-31 14:35:38,9.0,2.0,,,
,Madagascar,2020-07-31 14:35:38,10868.0,106.0,7807,-18.766947,46.869107
,Malawi,2020-07-31 14:35:38,3981.0,109.0,1807,-13.254307999999998,34.301525
,Malaysia,2020-07-31 14:35:38,8976.0,125.0,8644,4.210483999999999,101.975766
,Maldives,2020-07-31 14:35:38,3719.0,16.0,2568,3.2028,73.2207
,Mali,2020-07-31 14:35:38,2522.0,124.0,1931,17.570692,-3.996166000000001
,Malta,2020-07-31 14:35:38,824.0,9.0,665,35.9375,14.3754
,Mauritania,2020-07-31 14:35:38,6295.0,157.0,4889,21.0079,-10.9408
,Mauritius,2020-07-31 14:35:38,344.0,10.0,332,-20.348404,57.552152
,Moldova,2020-07-31 14:35:38,24733.0,778.0,17269,47.4116,28.3699
,Monaco,2020-07-31 14:35:38,120.0,4.0,105,43.7333,7.4167
,Mongolia,2020-07-31 14:35:38,291.0,0.0,225,46.8625,103.8467
,Montenegro,2020-07-31 14:35:38,3073.0,48.0,1005,42.708678000000006,19.37439
,Morocco,2020-07-31 14:35:38,23259.0,346.0,17311,31.7917,-7.0926
,Mozambique,2020-07-31 14:35:38,1808.0,11.0,638,-18.665695,35.529562
,Namibia,2020-07-31 14:35:38,2052.0,10.0,164,-22.9576,18.4904
,Nepal,2020-07-31 14:35:38,19771.0,56.0,14399,28.1667,84.25
,New Zealand,2020-07-31 14:35:38,1560.0,22.0,1518,-40.9006,174886
